# A  Lambda  rms(A)   a=1.5*(A-1)^2/A*r^-2    B(A+1)   rad-core
  2    0.38 12.5400   0.0547845142           -0.1826   3.7
  3    0.50 28.9000   0.1928937926           -0.1913   3.22
  4    0.67 43.5000   0.3099173553           -0.1934   3.3
  5    0.85 52.0000   0.4079932681           -0.1918   3.43
  6    1.05 57.0000   0.5312412345           -0.2044   3.43
