#         6      5      4      3      2
0.05   7.06   7.61   8.28   9.07   9.68    
0.1    5.18   5.54   5.97   6.46   6.80    
0.16   4.50   4.67   4.87   5.09   5.25    
0.2    4.40   4.44   4.53   4.67   4.85    
0.3    4.64   4.27   4.02   3.92   4.06    
0.35   4.74   4.27   3.89   3.69   3.81    
0.4    4.66   4.18   3.75   3.49   3.64    
0.45   4.59   4.10   3.64   3.34   3.49    
0.5    4.49   4.02   3.55   3.22   3.37    
0.55   4.37   3.93   3.47   3.11   3.27    
0.6    4.26   3.84   3.39   3.02   3.19    
0.65   4.15   3.75   3.32   2.95   3.12    
0.7    4.04   3.67   3.25   2.88   3.05    
0.75   3.93   3.58   3.19   2.82   3.00    
0.8    3.84   3.50   3.13   2.77   2.96    
0.9    3.66   3.36   3.02   2.69   2.88    
0.95   3.58   3.29   2.97   2.65   2.85    
1      3.50   3.23   2.93   2.62   2.82    
1.05   3.43   3.17   2.88   2.59   2.79    
1.1    3.36   3.12   2.84   2.56   2.77    
1.2    3.23   3.01   2.76   2.51   2.72    
1.5    2.94   2.76   2.58   2.40   2.63    
2      2.63   2.49   2.37   2.30   2.54    
