 (    125.6734+      0.0000j)
 (    110.3213+      0.0000j)
 (     96.6687+      0.0000j)
 (     85.6116+      0.0000j)
 (     75.8047+      0.0000j)
 (     67.1350+      0.0000j)
 (     59.3323+      0.0000j)
 (     52.2770+      0.0000j)
 (     45.8654+      0.0000j)
 (     40.0249+      0.0000j)
 (     34.6992+      0.0000j)
 (     29.8439+      0.0000j)
 (     25.4237+      0.0000j)
 (     21.4101+      0.0000j)
 (     17.7797+      0.0000j)
 (     14.5137+      0.0000j)
 (     11.5965+      0.0000j)
 (      9.0143+      0.0000j)
 (     -0.5106+      0.0000j)
 (      6.7551+      0.0000j)
 (      4.8147+      0.0000j)
 (      0.3167+      0.0000j)
 (      0.9798+      0.0000j)
 (      1.9434+      0.0000j)
 (      3.2079+      0.0000j)
