#          6      5      4      3     2
0.05   11.45  10.94  10.62  10.33  9.68
0.1    10.05   8.78   7.93   7.38  6.80
0.16   10.66   9.01   7.33   6.08  5.25
0.2     8.50   7.31   6.18   5.36  4.85
0.3     7.26   6.36   5.38   4.51  4.06
0.35    6.83   6.03   5.12   4.26  3.81
0.4     6.39   5.68   4.86   4.04  3.64
0.45    6.05   5.41   4.66   3.87  3.49
0.5     5.75   5.18   4.49   3.74  3.37
0.55    5.49   4.97   4.34   3.62  3.27
0.6     5.27   4.78   4.20   3.53  3.19
0.65    5.06   4.62   4.08   3.44  3.12
0.7     4.89   4.47   3.97   3.37  3.05
0.75    4.73   4.34   3.87   3.31  3.00
0.8     4.58   4.22   3.79   3.26  2.96
0.9     4.33   4.01   3.63   3.17  2.88
0.95    4.22   3.92   3.56   3.13  2.85
1       4.12   3.83   3.50   3.09  2.82
1.05    4.03   3.75   3.44   3.06  2.79
1.1     3.94   3.68   3.39   3.03  2.77
1.2     3.79   3.55   3.29   2.98  2.72
1.5     3.44   3.26   3.07   2.87  2.63
2       3.10   2.95   2.84   2.76  2.54
