-15.880328087010941     +25.789794812451003	15.880328087010941    +25.789794812451003
-23.4525139298933       +39.91458513418459	23.4525139298933      +39.91458513418459
-27.717455660055332     +47.70211995233162	27.717455660055332    +47.70211995233162
-29.527927108881908     +51.01056608321686	29.527927108881908    +51.01056608321686
-30.542208127570746     +52.87524414529988	30.542208127570746    +52.87524414529988
-31.538286568193232     +54.74639326687221	31.538286568193232    +54.74639326687221
-32.2342789254176       +56.104049704449395	32.234278925417605    +56.1040497044494
-33.23224264536676      +58.05043156844966	33.23224264536676     +58.050431568449675
