    0.10   -0.2776485085487365   2.7130464533666183
    0.15   -0.6251751780509948   3.4319091943420212
    0.20   -1.1118372082710266   4.167419364149226
    0.25   -1.7376345992088318   4.876380723790015
    0.30   -2.5025673806667328   5.570186114733308
    0.35   -3.4066355228424072   6.2162125959833805
    0.40   -4.4498389959335327   6.8210865171637
    0.45   -5.6321778893470764   7.3584053653498245
    0.50   -6.9536521509289742   7.8332822256543455
    0.55   -8.4142617367207997   8.223613682282863
    0.60   -10.014006733894352   8.531065748547022
    0.65   -11.752887116372587   8.737747984686695
    0.70   -13.630902761220934   8.843769489589214
    0.75   -15.648053899407387   8.832090990816761
    0.80   -17.804340305924409   8.704595459481386
    0.85   -20.099762217700480   8.440970784164211
    0.90   -22.534319406747819   8.045607801935711
    0.95   -25.108011944591997   7.502984860556464
    1.00   -27.820839822292328   6.809986248188086
    1.05   -30.672803171724077   5.952887787355908
    1.10   -33.663901862502101   4.92980063975504
    1.15   -36.794135914742938   3.731839144043261
    1.20   -40.063505214452739   2.3502594645989587
    1.25   -43.472010083496571   0.7775471573478795
    1.30   -47.019650226831430   -0.9968957260437031
    1.35   -50.706425663828860   -2.966527165630453
    1.40   -54.532336616516105   -5.165246304040265
    1.45   -58.497382879257223   -7.579298623724159
    1.50   -62.601564392447472   -10.22833129871364
    1.55   -66.844881531596158   -12.546806354185444
    1.60   -71.227333724498749   -16.234481357136083
    1.65   -75.748921465873721   -19.509749520248764
    1.70   -80.409644529223470   -23.27284470719571
    1.75   -85.209503017365932   -27.17419879177532
    1.80   -90.148496949672676   -31.367376552623444
    1.85   -95.226626150310025   -35.805005542916916
    1.90   -100.44389066398148   -40.63699668798676
    1.95   -105.80029069483285   -45.72026608845989
    2.00   -111.29582583904266   -51.11475971653586
    2.05   -116.93049673140047   -56.41196282352865
    2.10   -122.70430267155167   -62.882189704620934
    2.15   -128.61724398136144   -69.26559833861924
    2.20   -134.66932096481324   -76.01216113830856
    2.25   -140.86053297668695   -83.13725319674383
    2.30   -147.19088065624240   -90.59863790706069
    2.35   -153.66036337763063   -98.43595260713076
    2.40   -160.26898161172875   -106.71585630436094
    2.45   -167.01673533618444   -115.3524288869521
    2.50   -173.90362434089184   -124.40690703984382
    2.55   -180.92964872270824   -133.90107389114084
    2.60   -188.09480844736086   -143.79019991070433
    2.65   -195.39910353273160   -153.9108110292507
    2.70   -202.84253396689883   -164.17629221420924
    2.75   -210.42509981244802   -176.21129381576495
    2.80   -218.14680104255689   -187.98002716525147
    2.85   -226.00763756632796   -199.63191496899924
    2.90   -234.00760968923581   -212.97345966361027
    2.95   -242.14671689718952   -226.21009474571943
    3.00   -250.42495965957642   -239.82794622298485
    3.05   -258.84233742952370   -254.30506364905213
    3.10   -267.39885088205335   -268.9460110116377
    3.15   -276.09449983388197   -284.4515184108448
    3.20   -284.92928398847556   -300.67887715589023
    3.25   -293.90320343524218   -317.3748491451962
    3.30   -303.01625839769866   -334.53761553888233
    3.35   -312.26844844818123   -352.412989164124
    3.40   -321.65977442264557   -370.93726975562885
    3.45   -331.19023534357518   -389.5109300283649
    3.50   -340.85983154177666   -409.9160309315644
    3.55   -350.66856353580971   -429.9383961227198
    3.60   -360.61643059253697   -451.62183748537615
    3.65   -370.70343282520747   -471.2587858219829
    3.70   -380.92957075238206   -495.7975963861988
    3.75   -391.29484403878450   -519.6063249067547
    3.80   -401.79925279617333   -542.3962978999056
    3.85   -412.44279653728040   -567.795584175474
    3.90   -423.22547572851141   -594.3140909991258
    3.95   -434.14729044437371   -620.4505301632896
    4.00   -445.20824056863785   -644.9735057475652
    4.05   -456.40832625627553   -660.9019107891922
    4.10   -467.74754676818884   -704.2647772984184
    4.15   -479.22590306997245   -736.1130260624134
    4.20   -490.84339447021438   -761.5601269796007
    4.25   -502.60002147406340   -788.0682645527055
    4.30   -514.49578372836174   -826.1216469747941
    4.35   -526.53068150878016   -864.7406023964471
    4.40   -538.70471444129885   -891.0986904092803
    4.45   -551.01788270473457   -934.7271128102786
    4.50   -563.47018656134605   -970.3477275845423
    4.55   -576.06162557601931   -992.8632256874615
    4.60   -588.79220008850189   -1047.8846792113065
    4.65   -601.66190984547052   -966.5878601318544
    4.70   -614.67075546979902   -1132.36521512511
    4.75   -627.81873589754105   -1175.480381000438
    4.80   -641.10585156679133   -1219.7166181946
    4.85   -654.53210299909222   -1264.8828097590
    4.90   -668.09748991727736   -1308.1603691406
    4.95   -681.80201210677671   -1348.6490595703
    5.00   -695.64566910266876   -1407.6826435547
    5.05   -709.62846225500039   -1452.5839453125
    5.10   -723.75039022564977   -1509.7093730469
    5.15   -738.01145402192981   -1563.3762675781
    5.20   -752.41165244579372   -1545.4873027344
    5.25   -766.95098717510700   -1670.7100566406
    5.30   -781.62945693731240   -1732.3673554688
    5.35   -796.44706199169275   -1581.2056025391
    5.40   -811.40380191802865   -1848.6456269531
    5.45   -826.49967769384489   -1894.4413769531
    5.50   -841.73468881845474   -1976.2535761719
    5.55   -857.10883537828818   -1905.6517949219
    5.60   -872.62211763858920   -2112.9252675781
    5.65   -888.27453434765198   -2179.2933271484
    5.70   -904.06608736515182   -1914.1192382813
    5.75   -919.99677488207817   -2284.8978496094
    5.80   -936.06659860610830   -2400.9376015625
    5.85   -952.27555691599969   -2454.8430156250
    5.90   -968.62365146279205   -2557.7641933594
    5.95   -985.11088089645057   -2630.6319101563
    6.00   -1001.7372455596924   -2713.1596679688
    6.05   -1018.5027457207425   -2802.9622714844
    6.10   -1035.4073810756222   -2698.7292363281
