-40.67537925512908  +59.40333487037781	40.67537925512907   +59.40333487037781
-42.83632606624188  +75.39414800107372	42.83632606624188   +75.39414800107372
-49.32711417866715  +87.21352941794439	49.32711417866715   +87.21352941794439
-52.18366121600777  +92.49773382435569	52.18366121600777   +92.49773382435568
-53.722259321619504 +95.38032144015972	53.72225932161949   +95.3803214401597
-55.35120591623765  +98.48227549603997	55.35120591623765   +98.48227549603996
-56.20284352826529  +100.15533687156342	56.202843528265305  +100.15533687156345
-56.78685492316117  +101.36229357805041	56.78685492316118   +101.36229357805041
