0.+5.986093144892425*I	0.-5.986611970402357*I	0.-69072.19516225756*I
-21.281112841325+34.38121100588213*I	0.-23.776844767284103*I	21.281112841325+34.38121100588213*I
-35.59297177175324+60.97385991721668*I	0.-40.87547712672939*I	35.59297177175324+60.97385991721668*I
-39.407897542348415+69.50946175470568*I	0.-45.925745222051724*I	39.40789754234842+69.50946175470567*I
-40.90128958767673+73.64246356119932*I	0.-48.1795935805464*I	40.90128958767671+73.64246356119938*I
-43.872628849089736+80.94090135652098*I	0.-52.360654085137355*I	43.872628849089736+80.94090135652097*I
-42.98501254091184+80.89419667448647*I	0.-51.86764133724008*I	42.985012540911846+80.89419667448647*I
-45.460839013311336+86.28929424296653*I	0.-55.11999065584452*I	45.46083901331133+86.28929424296653*I
