-30.964395110547503+51.91117794409074*I	30.964395110547503+51.91117794409074*I
-15.30865009277742+24.630510120525265*I	15.308650092777421+24.63051012052527*I
-25.38956760976423+43.45620077264242*I	25.38956760976423+43.45620077264242*I
-28.19872392080404+48.59445897021769*I	28.19872392080403+48.59445897021768*I
-29.40396976124982+50.80887840599808*I	29.40396976124982+50.80887840599807*I
-31.740618234793008+55.11301845602348*I	31.740618234793008+55.11301845602348*I
-31.360444969806508+54.52435999768192*I	31.360444969806508+54.52435999768192*I
-33.23224264536676+58.05043156844966*I	33.23224264536676+58.050431568449675*I
