L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00197606      -14.752676      -0.02      42.09      21.92
0.2025     0.00197628      -23.952782      -0.02      42.08      21.90
0.3025     0.00197649      -35.379441      -0.02      42.08      21.88
0.4225     0.00197681      -49.032424      -0.02      42.08      21.88
0.5625     0.00197702      -64.911640      -0.02      42.08      21.87
0.7225     0.00197734      -83.017035      -0.02      42.07      21.86
0.9025     0.00197765      -103.348587      -0.02      42.07      21.86
1.1025     0.00197797      -125.906275      -0.02      42.07      21.86
1.3225     0.00197819      -150.690091      -0.02      42.06      21.86
1.5625     0.00197840      -177.700022      -0.02      42.06      21.86
1.8225     0.00197882      -206.936076      -0.02      42.06      21.85
2.1025     0.00197904      -238.398225      -0.02      42.05      21.85
2.4025     0.00197946      -272.086489      -0.02      42.05      21.85
2.7225     0.00197978      -308.000857      -0.02      42.05      21.85
3.0625     0.00198010      -346.141328      -0.02      42.04      21.85
3.4225     0.00198052      -386.507903      -0.02      42.04      21.85
3.8025     0.00198095      -429.100576      -0.02      42.03      21.85
4.2025     0.00198137      -473.919350      -0.02      42.03      21.84
4.6225     0.00198180      -520.964226      -0.02      42.02      21.84
5.0625     0.00198223      -570.235201      -0.02      42.02      21.84
5.5225     0.00198276      -621.732270      -0.02      42.01      21.84
6.0025     0.00198329      -675.455440      -0.02      42.01      21.84
6.5025     0.00198382      -731.404710      -0.02      42.00      21.84
7.0225     0.00198446      -789.580074      -0.02      42.00      21.84
7.5625     0.00198510      -849.981535      -0.02      41.99      21.84
8.1225     0.00198574      -912.609096      -0.02      41.98      21.84
8.7025     0.00198649      -977.462773      -0.02      41.97      21.84
9.3025     0.00198713      -1044.542504      -0.02      41.97      21.84
9.9225     0.00198799      -1113.848367      -0.02      41.96      21.84
10.5625     0.00198874      -1185.380307      -0.02      41.95      21.84
11.2225     0.00198959      -1259.138351      -0.02      41.94      21.84
11.9025     0.00199045      -1335.122492      -0.02      41.93      21.84
12.6025     0.00199142      -1413.332743      -0.02      41.92      21.84
13.3225     0.00199249      -1493.769061      -0.02      41.91      21.84
14.0625     0.00199345      -1576.431490      -0.02      41.90      21.84
14.8225     0.00199464      -1661.320016      -0.02      41.89      21.84
15.6025     0.00199582      -1748.434649      -0.02      41.88      21.84
16.4025     0.00199711      -1837.775358      -0.02      41.86      21.84
17.2225     0.00199851      -1929.342167      -0.02      41.85      21.84
18.0625     0.00199991      -2023.135140      -0.02      41.83      21.84
18.9225     0.00200142      -2119.154100      -0.02      41.82      21.84
19.8025     0.00200294      -2217.399193      -0.02      41.80      21.84
20.7025     0.00200467      -2317.870393      -0.02      41.78      21.84
21.6225     0.00200640      -2420.567688      -0.02      41.77      21.84
22.5625     0.00200825      -2525.491079      -0.02      41.75      21.84
23.5225     0.00201010      -2632.640584      -0.02      41.73      21.84
24.5025     0.00201205      -2742.016147      -0.02      41.71      21.85
25.5025     0.00201423      -2853.617812      -0.02      41.68      21.85
26.5225     0.00201642      -2967.445590      -0.02      41.66      21.84
27.5625     0.00201882      -3083.499463      -0.02      41.64      21.85
