L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00309226      -15.923806      -0.10      22.02      22.02
0.2025     0.00309258      -25.386164      -0.10      22.02      22.01
0.3025     0.00309289      -37.078051      -0.10      22.02      22.01
0.4225     0.00309321      -50.997791      -0.09      22.02      22.00
0.5625     0.00309321      -67.144649      -0.09      22.02      22.00
0.7225     0.00309353      -85.518246      -0.09      22.02      22.00
0.9025     0.00309353      -106.118375      -0.09      22.02      22.00
1.1025     0.00309384      -128.944905      -0.09      22.02      22.00
1.3225     0.00309416      -153.997754      -0.09      22.02      22.00
1.5625     0.00309447      -181.276866      -0.09      22.02      22.00
1.8225     0.00309447      -210.782210      -0.09      22.02      22.00
2.1025     0.00309479      -242.513740      -0.09      22.02      22.00
2.4025     0.00309511      -276.471454      -0.09      22.01      22.00
2.7225     0.00309542      -312.655326      -0.09      22.01      22.00
3.0625     0.00309574      -351.065355      -0.09      22.01      22.00
3.4225     0.00309606      -391.701525      -0.09      22.01      22.00
3.8025     0.00309637      -434.563827      -0.09      22.01      22.00
4.2025     0.00309669      -479.652258      -0.09      22.01      21.99
4.6225     0.00309701      -526.966814      -0.09      22.01      21.99
5.0625     0.00309764      -576.507485      -0.09      22.01      21.99
5.5225     0.00309796      -628.274282      -0.09      22.00      22.00
6.0025     0.00309827      -682.267187      -0.09      22.00      22.00
6.5025     0.00309891      -738.486199      -0.09      22.00      21.99
7.0225     0.00309922      -796.931332      -0.09      22.00      21.99
7.5625     0.00309986      -857.602571      -0.09      22.00      21.99
8.1225     0.00310049      -920.499915      -0.09      22.00      21.99
8.7025     0.00310113      -985.623371      -0.09      21.99      21.99
9.3025     0.00310176      -1052.972918      -0.09      21.99      21.99
9.9225     0.00310240      -1122.548588      -0.09      21.99      21.99
10.5625     0.00310303      -1194.350341      -0.09      21.99      21.99
11.2225     0.00310367      -1268.378204      -0.09      21.98      21.99
11.9025     0.00310430      -1344.632176      -0.09      21.98      21.99
12.6025     0.00310526      -1423.112249      -0.09      21.98      21.99
13.3225     0.00310589      -1503.818412      -0.09      21.98      21.99
14.0625     0.00310685      -1586.750682      -0.09      21.97      21.99
14.8225     0.00310780      -1671.909053      -0.09      21.97      21.99
15.6025     0.00310876      -1759.293532      -0.09      21.97      21.99
16.4025     0.00311003      -1848.904092      -0.09      21.96      21.99
17.2225     0.00311131      -1940.740755      -0.09      21.96      21.99
18.0625     0.00311226      -2034.803534      -0.09      21.95      21.99
18.9225     0.00311354      -2131.092391      -0.09      21.95      21.99
19.8025     0.00311514      -2229.607371      -0.09      21.94      21.99
20.7025     0.00311641      -2330.348417      -0.09      21.94      21.99
21.6225     0.00311801      -2433.315578      -0.09      21.93      21.99
22.5625     0.00311929      -2538.508835      -0.09      21.93      21.99
23.5225     0.00312122      -2645.928217      -0.09      21.92      21.99
24.5025     0.00312282      -2755.573657      -0.09      21.92      21.99
25.5025     0.00312442      -2867.445191      -0.09      21.91      21.99
26.5225     0.00312635      -2981.542840      -0.09      21.90      21.99
27.5625     0.00312828      -3097.866589      -0.09      21.90      21.99
