L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00028735      -14.267071      0.01      72.25      18.52
0.2025     0.00028742      -23.344403      0.01      72.24      17.99
0.3025     0.00028748      -34.647936      0.01      72.23      17.57
0.4225     0.00028755      -48.177608      0.01      72.23      17.22
0.5625     0.00028762      -63.933403      0.01      72.22      16.93
0.7225     0.00028769      -81.915307      0.01      72.21      16.69
0.9025     0.00028776      -102.123322      0.01      72.20      16.47
1.1025     0.00028781      -124.557438      0.01      72.19      16.29
1.3225     0.00028790      -149.217658      0.01      72.18      16.13
1.5625     0.00028797      -176.103975      0.01      72.17      15.98
1.8225     0.00028804      -205.216405      0.01      72.16      15.85
2.1025     0.00028811      -236.554908      0.01      72.15      15.74
2.4025     0.00028819      -270.119522      0.01      72.14      15.63
2.7225     0.00028827      -305.910231      0.01      72.13      15.54
3.0625     0.00028837      -343.927040      0.01      72.12      15.45
3.4225     0.00028846      -384.169948      0.01      72.11      15.37
3.8025     0.00028856      -426.638947      0.01      72.10      15.30
4.2025     0.00028867      -471.334045      0.01      72.09      15.23
4.6225     0.00028878      -518.255241      0.01      72.07      15.17
5.0625     0.00028889      -567.402533      0.01      72.06      15.11
5.5225     0.00028902      -618.775917      0.01      72.04      15.05
6.0025     0.00028916      -672.375400      0.01      72.02      15.00
6.5025     0.00028930      -728.200982      0.01      72.01      14.96
7.0225     0.00028945      -786.252655      0.01      71.99      14.91
7.5625     0.00028960      -846.530424      0.01      71.97      14.87
8.1225     0.00028976      -909.034291      0.01      71.95      14.83
8.7025     0.00028994      -973.764258      0.01      71.93      14.79
9.3025     0.00029011      -1040.720315      0.01      71.91      14.76
9.9225     0.00029030      -1109.902477      0.01      71.88      14.73
10.5625     0.00029051      -1181.310718      0.01      71.86      14.69
11.2225     0.00029072      -1254.945065      0.01      71.83      14.66
11.9025     0.00029094      -1330.805507      0.01      71.80      14.63
12.6025     0.00029118      -1408.892060      0.01      71.77      14.61
13.3225     0.00029142      -1489.204676      0.01      71.74      14.58
14.0625     0.00029169      -1571.743404      0.01      71.71      14.56
14.8225     0.00029197      -1656.508229      0.01      71.68      14.54
15.6025     0.00029226      -1743.499161      0.01      71.64      14.51
16.4025     0.00029258      -1832.716174      0.01      71.60      14.49
17.2225     0.00029290      -1924.159274      0.01      71.56      14.47
18.0625     0.00029326      -2017.828498      0.01      71.52      14.45
18.9225     0.00029362      -2113.723802      0.01      71.47      14.43
19.8025     0.00029402      -2211.845190      0.01      71.43      14.41
20.7025     0.00029442      -2312.192686      0.01      71.38      14.39
21.6225     0.00029485      -2414.766276      0.01      71.33      14.37
22.5625     0.00029529      -2519.565964      0.01      71.27      14.36
23.5225     0.00029577      -2626.591748      0.01      71.22      14.34
24.5025     0.00029626      -2735.843621      0.01      71.16      14.33
25.5025     0.00029678      -2847.321582      0.01      71.09      14.31
26.5225     0.00029733      -2961.025655      0.01      71.03      14.30
27.5625     0.00029790      -3076.955821      0.01      70.96      14.28
