L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1000     0.00722962      -0.909000      -0.20      26.06      22.83
0.6000     0.00723233      -12.810600      -0.20      16.79      22.83
1.1000     0.00723581      -38.628100      -0.20      15.71      22.83
1.6000     0.00723306      -78.356700      -0.20      15.31      22.83
2.1000     0.00723313      -131.999200      -0.20      15.10      22.83
2.6000     0.00723747      -199.558100      -0.20      14.96      22.83
3.1000     0.00723653      -281.026300      -0.20      14.87      22.83
3.6000     0.00722882      -376.399700      -0.20      14.81      22.83
4.1000     0.00723194      -485.697100      -0.20      14.76      22.83
4.6000     0.00723139      -608.903600      -0.20      14.72      22.83
5.1000     0.00725331      -746.057600      -0.20      14.67      22.82
5.6000     0.00723237      -897.057700      -0.20      14.66      22.83
6.1000     0.00723758      -1062.013500      -0.20      14.63      22.83
6.6000     0.00723114      -1240.860400      -0.20      14.62      22.83
7.1000     0.00723128      -1433.632300      -0.20      14.60      22.83
7.6000     0.00724145      -1640.340600      -0.20      14.57      22.83
8.1000     0.00724069      -1860.938500      -0.20      14.56      22.83
8.6000     0.00724713      -2095.467400      -0.20      14.54      22.82
9.1000     0.00720640      -2343.780700      -0.20      14.57      22.85
9.6000     0.00724510      -2606.225800      -0.20      14.52      22.83
