0.05    -1.551665  0.324253617188  
0.10    -2.241663  0.2456829375  
0.20    -4.040227  -0.223247242969  
0.30    -6.396510  -1.20682104512  
0.50    -12.78163  -5.20893734689  
0.70    -21.39405  -12.7344455911  
0.80    -26.53580  -18.1374520182  
0.90    -32.23375  -24.8126425911  
0.95    -35.29122  -28.6644794764  
1.00    -38.48853  -32.9110143276  
1.05    -41.82441  -37.5268116221  
1.10    -45.29949  -42.5703870486  
1.20    -52.66596  -53.9705109645  
1.50    -78.11106  -100.476136019  
2.00    -131.64598  -232.412644337  
3.00    -280.45691  -854.107499493  
4.00    -484.92093  -2495.36419052  
6.00    -1060.7967  -16915.6302127  
10.0    -2880.3865  -756723.220071 
