L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1000     0.00002997      -0.391919      -0.00      84.68      -0.34
0.1500     0.00009019      -0.788728      -0.00      71.98      -0.55
0.2000     0.00010080      -1.322062      -0.00      70.21      -0.43
0.2500     0.00009081      -1.990936      -0.00      70.43      -0.35
0.3000     0.00016316      -2.822607      -0.00      65.89      12.60
0.3500     0.00012549      -3.762702      -0.00      67.79      12.78
0.4000     0.00011597      -4.849259      -0.00      68.22      0.13
0.4500     0.00013880      -6.088725      -0.00      66.64      12.79
0.5000     0.00016702      -7.471775      -0.00      64.86      12.75
0.5500     0.00012940      -8.961431      -0.00      67.03      12.88
0.6000     0.00017055      -10.632902      -0.00      64.44      12.81
0.6500     0.00014238      -12.403423      -0.00      66.06      12.91
0.7000     0.00016716      -14.346747      -0.00      64.47      12.90
0.7500     0.00018423      -16.425472      -0.01      63.43      12.91
0.8000     0.00014781      -18.603604      -0.00      65.55      12.98
0.8500     0.00017094      -20.966704      -0.00      64.09      12.99
0.9000     0.00016895      -23.448995      -0.00      64.17      13.02
0.9500     0.00019389      -26.095247      -0.01      62.68      13.04
1.0000     0.00014791      -28.814117      -0.00      65.38      13.08
1.0500     0.00014180      -31.707935      -0.00      65.76      13.09
1.1000     0.00018502      -34.793395      -0.01      63.10      13.13
1.1500     0.00015022      -37.935139      -0.00      65.17      13.15
1.2000     0.00013872      -41.239314      -0.00      65.89      13.15
1.2500     0.00020262      -44.773351      -0.01      62.01      16.91
1.3000     0.00014070      -48.293897      -0.00      65.72      13.20
1.3500     0.00015369      -52.045887      -0.00      64.88      13.22
1.4000     0.00020017      -55.983525      -0.01      62.09      13.31
1.4500     0.00014143      -59.916847      -0.00      65.63      13.25
1.5000     0.00014314      -64.071662      -0.00      65.50      13.28
1.5500     0.00015121      -68.375420      -0.00      64.97      13.30
1.6000     0.00018032      -72.851254      -0.00      63.18      13.37
1.6500     0.00020448      -77.461121      -0.01      61.77      17.01
1.7000     0.00014194      -82.069986      -0.00      65.54      13.34
1.7500     0.00014246      -86.918977      -0.00      65.49      13.36
1.8000     0.00015635      -91.930620      -0.00      64.59      13.40
1.8500     0.00016429      -97.071902      -0.00      64.08      13.44
1.9000     0.00017645      -102.360809      -0.00      63.32      13.49
1.9500     0.00014416      -107.705667      -0.00      65.33      13.42
2.0000     0.00019309      -113.343691      -0.01      62.34      13.58
2.0500     0.00014483      -118.933445      -0.00      65.27      13.46
2.1000     0.00016387      -124.794158      -0.00      64.07      13.53
2.1500     0.00015838      -130.744942      -0.00      64.40      13.52
2.2000     0.00018887      -136.910303      -0.01      62.55      13.64
2.2500     0.00017509      -143.121922      -0.00      63.36      13.61
2.3000     0.00017268      -149.496344      -0.00      63.51      13.61
2.3500     0.00018213      -156.037117      -0.01      62.92      13.67
2.4000     0.00014396      -162.606952      -0.00      65.28      13.55
2.4500     0.00018578      -169.502121      -0.01      62.69      13.72
2.5000     0.00018661      -176.440494      -0.01      62.65      13.75
2.5500     0.00017161      -183.480580      -0.00      63.52      13.70
2.6000     0.00014866      -190.636440      -0.00      64.97      13.62
2.6500     0.00014579      -197.982131      -0.00      65.14      13.63
2.7000     0.00014975      -205.484300      -0.00      64.87      13.65
2.7500     0.00019989      -213.247899      -0.01      61.84      13.88
2.8000     0.00017183      -220.945237      -0.00      63.48      13.78
2.8500     0.00015057      -228.796448      -0.00      64.81      13.70
2.9000     0.00020114      -236.986636      -0.01      61.74      13.94
2.9500     0.00016151      -245.063663      -0.00      64.11      13.77
3.0000     0.00014556      -253.343707      -0.00      65.13      13.71
3.0500     0.00014532      -261.808585      -0.00      65.14      13.73
3.1000     0.00016179      -270.463153      -0.00      64.08      13.81
3.1500     0.00014338      -279.150494      -0.00      65.27      13.74
3.2000     0.00015037      -288.055214      -0.00      64.81      13.79
3.2500     0.00015705      -297.098855      -0.00      64.37      13.82
3.3000     0.00014519      -306.222135      -0.00      65.14      13.78
3.3500     0.00015091      -315.541687      -0.00      64.75      13.82
3.4000     0.00016617      -325.031454      -0.00      63.79      13.92
3.4500     0.00015237      -334.564689      -0.00      64.65      13.85
3.5000     0.00016707      -344.332807      -0.00      63.72      13.95
3.5500     0.00018210      -354.241479      -0.01      62.81      14.04
3.6000     0.00014610      -364.114445      -0.00      65.04      13.85
3.6500     0.00018069      -374.371768      -0.00      62.87      14.06
3.7000     0.00015357      -384.550150      -0.00      64.56      13.91
3.7500     0.00014637      -394.937440      -0.00      65.02      13.89
3.8000     0.00018133      -405.618190      -0.01      62.84      14.10
3.8500     0.00015160      -416.201625      -0.00      64.66      13.93
3.9000     0.00015953      -427.061887      -0.00      64.17      14.00
3.9500     0.00014485      -437.976605      -0.00      65.10      13.91
4.0000     0.00015768      -449.135116      -0.00      64.27      14.01
4.0500     0.00015928      -460.389375      -0.00      64.18      14.03
4.1000     0.00018329      -471.873226      -0.01      62.69      14.18
4.1500     0.00016120      -483.312287      -0.00      64.04      14.06
4.2000     0.00018554      -495.076823      -0.01      62.56      14.22
4.2500     0.00015005      -506.738324      -0.00      64.74      14.01
4.3000     0.00016201      -518.732033      -0.00      63.98      14.09
4.3500     0.00015561      -530.788818      -0.00      64.38      14.06
4.4000     0.00019850      -543.192956      -0.01      61.78      14.36
4.4500     0.00016041      -555.393255      -0.00      64.07      14.11
4.5000     0.00015926      -567.889356      -0.00      64.13      14.11
4.5500     0.00015147      -580.495078      -0.00      64.63      14.08
4.6000     0.00016910      -593.352407      -0.00      63.51      14.21
4.6500     0.00014771      -606.174756      -0.00      64.86      14.07
4.7000     0.00017857      -619.371306      -0.00      62.94      14.29
4.7500     0.00016271      -632.497089      -0.00      63.90      14.20
4.8000     0.00014692      -645.757876      -0.00      64.92      14.09
4.8500     0.00015733      -659.281552      -0.00      64.24      14.17
4.9000     0.00018164      -673.010681      -0.01      62.74      14.35
4.9500     0.00015044      -686.616040      -0.00      64.66      14.14
5.0000     0.00017475      -700.625446      -0.00      63.14      14.33
5.0500     0.00017107      -714.638966      -0.00      63.37      14.31
5.1000     0.00015276      -728.719106      -0.00      64.52      14.18
5.1500     0.00020651      -743.294506      -0.01      61.28      17.58
5.2000     0.00020203      -757.724237      -0.01      61.52      17.58
5.2500     0.00016054      -772.103827      -0.00      64.01      14.27
5.3000     0.00015526      -786.804508      -0.00      64.33      14.24
5.3500     0.00016489      -801.720218      -0.00      63.72      14.32
5.4000     0.00015188      -816.657008      -0.00      64.55      14.23
5.4500     0.00019202      -832.012205      -0.01      62.08      14.54
5.5000     0.00015513      -847.101980      -0.00      64.33      14.28
5.5500     0.00016424      -862.574160      -0.00      63.74      14.35
5.6000     0.00014222      -878.015757      -0.00      65.15      14.19
5.6500     0.00015113      -893.764921      -0.00      64.57      14.27
5.7000     0.00016025      -909.654081      -0.00      63.99      14.35
5.7500     0.00015308      -925.593302      -0.00      64.44      14.30
5.8000     0.00016190      -941.760882      -0.00      63.88      14.38
5.8500     0.00017053      -958.068443      -0.00      63.33      14.45
5.9000     0.00014637      -974.326612      -0.00      64.86      14.26
5.9500     0.00015488      -990.910914      -0.00      64.30      14.35
6.0000     0.00020582      -1007.879979      -0.01      61.23      17.67
6.0500     0.00016340      -1024.449598      -0.00      63.75      14.43
6.1000     0.00014630      -1041.301114      -0.00      64.84      14.29
6.1500     0.00015465      -1058.441902      -0.00      64.31      14.37
6.2000     0.00014539      -1075.618055      -0.00      64.89      14.31
6.2500     0.00020663      -1093.355766      -0.01      61.17      17.70
6.3000     0.00015293      -1110.541885      -0.00      64.40      14.38
6.3500     0.00015212      -1128.184961      -0.00      64.45      14.39
6.4000     0.00018691      -1146.189040      -0.01      62.29      14.69
6.4500     0.00014990      -1163.885609      -0.00      64.58      14.38
6.5000     0.00017595      -1182.115529      -0.00      62.94      14.62
6.5500     0.00016565      -1200.255485      -0.00      63.58      14.53
6.6000     0.00017332      -1218.650253      -0.00      63.09      14.61
6.6500     0.00020005      -1237.305198      -0.01      61.50      14.84
6.7000     0.00017008      -1255.737343      -0.00      63.27      14.60
6.7500     0.00017803      -1274.549941      -0.00      62.79      14.67
6.8000     0.00014750      -1293.250856      -0.00      64.69      14.41
6.8500     0.00015507      -1312.339488      -0.00      64.21      14.49
6.9000     0.00018181      -1331.697468      -0.01      62.55      14.74
6.9500     0.00016988      -1350.936287      -0.00      63.27      14.63
7.0000     0.00017710      -1370.444455      -0.00      62.81      14.71
7.0500     0.00014513      -1389.822076      -0.00      64.82      14.42
7.1000     0.00015217      -1409.606087      -0.00      64.36      14.49
7.1500     0.00017936      -1429.668976      -0.00      62.66      14.76
7.2000     0.00014618      -1449.452553      -0.00      64.73      14.44
7.2500     0.00015315      -1469.654054      -0.00      64.27      14.52
7.3000     0.00016012      -1489.995360      -0.00      63.82      14.60
7.3500     0.00017744      -1510.549945      -0.00      62.75      14.76
7.4000     0.00015352      -1530.948433      -0.00      64.24      14.55
7.4500     0.00018122      -1551.858108      -0.01      62.52      14.81
7.5000     0.00017762      -1572.682131      -0.00      62.72      14.79
7.5500     0.00015260      -1593.488857      -0.00      64.26      14.56
7.6000     0.00015923      -1614.664872      -0.00      63.83      14.63
7.6500     0.00018784      -1636.139853      -0.01      62.10      14.91
7.7000     0.00020547      -1657.678149      -0.01      61.06      17.84
7.7500     0.00015792      -1678.868205      -0.00      63.91      14.64
7.8000     0.00016422      -1700.601216      -0.00      63.50      14.71
7.8500     0.00014888      -1722.306369      -0.00      64.46      14.56
7.9000     0.00015542      -1744.316767      -0.00      64.05      14.64
7.9500     0.00018418      -1766.638833      -0.01      62.27      14.92
8.0000     0.00016812      -1788.756812      -0.00      63.23      14.77
8.0500     0.00015188      -1811.010190      -0.00      64.24      14.62
8.1000     0.00015251      -1833.532775      -0.00      64.19      14.63
8.1500     0.00016437      -1856.284332      -0.00      63.43      14.76
8.2000     0.00014775      -1878.948106      -0.00      64.48      14.60
8.2500     0.00015379      -1901.932282      -0.00      64.08      14.66
8.3000     0.00018326      -1925.243571      -0.01      62.26      14.96
8.3500     0.00016607      -1948.319804      -0.00      63.30      14.80
8.4000     0.00016045      -1971.627184      -0.00      63.64      14.75
8.4500     0.00015470      -1995.071995      -0.00      64.00      14.70
8.5000     0.00016087      -2018.752483      -0.00      63.62      14.77
8.5500     0.00018487      -2042.721817      -0.01      62.15      15.01
8.6000     0.00014875      -2066.331406      -0.00      64.37      14.65
8.6500     0.00019110      -2090.733967      -0.01      61.77      15.09
8.7000     0.00018490      -2114.871530      -0.01      62.12      15.03
8.7500     0.00019097      -2139.250566      -0.01      61.76      15.11
8.8000     0.00017225      -2163.558664      -0.00      62.87      14.92
8.8500     0.00018429      -2188.267981      -0.01      62.14      15.05
8.9000     0.00015254      -2212.741143      -0.00      64.07      14.73
8.9500     0.00016442      -2237.728028      -0.00      63.31      14.86
9.0000     0.00014509      -2262.580399      -0.00      64.54      14.66
9.0500     0.00015070      -2287.790328      -0.00      64.17      14.73
9.1000     0.00015633      -2313.139927      -0.00      63.81      14.80
9.1500     0.00018752      -2338.856931      -0.01      61.90      15.12
9.2000     0.00015453      -2364.143014      -0.00      63.91      14.79
9.2500     0.00015997      -2389.910365      -0.00      63.55      14.85
9.3000     0.00017841      -2415.935011      -0.00      62.41      15.06
9.3500     0.00014469      -2441.626251      -0.00      64.50      14.70
9.4000     0.00015027      -2467.810039      -0.00      64.15      14.76
9.4500     0.00016219      -2494.194203      -0.00      63.39      14.90
9.5000     0.00020115      -2520.964797      -0.01      61.06      15.31
9.5500     0.00015280      -2547.075249      -0.00      63.95      14.81
9.6000     0.00014487      -2573.690983      -0.00      64.46      14.72
9.6500     0.00015005      -2600.570394      -0.00      64.12      14.79
