L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1000     0.00002973      -0.277649      0.03      -224.62      -0.38
0.1500     0.00000035      -0.625175      0.02      -2062.18      0.00
0.2000     0.00000004      -1.111837      0.02      -5873.85      0.00
0.2500     0.00000004      -1.737635      0.02      -6372.37      0.00
0.3000     0.00000003      -2.502567      0.02      -6683.83      0.00
0.3500     0.00000003      -3.406636      0.02      -6646.16      0.00
0.4000     0.00000003      -4.449839      0.02      -6748.48      0.00
0.4500     0.00000003      -5.632178      0.02      -6954.58      0.00
0.5000     0.00000003      -6.953652      0.02      -7076.04      0.00
0.5500     0.00000003      -8.414262      0.02      -7131.33      0.00
0.6000     0.00000003      -10.014007      0.02      -7140.38      0.00
0.6500     0.00000003      -11.752887      0.02      -7242.24      0.00
0.7000     0.00000003      -13.630903      0.02      -7297.53      0.00
0.7500     0.00000003      -15.648054      0.02      -7429.62      0.00
0.8000     0.00000003      -17.804340      0.02      -7402.13      0.00
0.8500     0.00000003      -20.099762      0.02      -7555.45      0.00
0.9000     0.00000003      -22.534319      0.02      -7562.62      0.00
0.9500     0.00000003      -25.108012      0.02      -7637.84      0.00
1.0000     0.00000003      -27.820840      0.02      -7679.30      0.00
1.0500     0.00000002      -30.672803      0.02      -7783.05      0.00
1.1000     0.00000002      -33.663902      0.02      -7854.78      0.00
1.1500     0.00000002      -36.794136      0.02      -7896.92      0.00
1.2000     0.00000002      -40.063505      0.02      -7997.02      0.00
1.2500     0.00000002      -43.472010      0.02      -8067.24      0.00
1.3000     0.00000002      -47.019650      0.02      -8191.60      0.00
1.3500     0.00000002      -50.706426      0.02      -8205.90      0.00
1.4000     0.00000002      -54.532337      0.02      -8274.22      0.00
1.4500     0.00000002      -58.497383      0.02      -8393.71      0.00
1.5000     0.00000002      -62.601564      0.02      -8485.94      0.00
1.5500     0.00000002      -66.844882      0.02      -8552.41      0.00
1.6000     0.00000002      -71.227334      0.02      -8594.49      0.00
1.6500     0.00000002      -75.748921      0.02      -8686.45      0.00
1.7000     0.00000002      -80.409645      0.02      -8754.22      0.00
1.7500     0.00000002      -85.209503      0.02      -8870.60      0.00
1.8000     0.00000002      -90.148497      0.02      -8963.09      0.00
1.8500     0.00000002      -95.226626      0.02      -9032.35      0.00
1.9000     0.00000002      -100.443891      0.02      -9149.40      0.00
1.9500     0.00000002      -105.800291      0.02      -9243.38      0.00
2.0000     0.00000002      -111.295826      0.02      -9314.90      0.00
2.0500     0.00000002      -116.930497      0.02      -9433.59      0.00
2.1000     0.00000002      -122.704303      0.02      -9530.04      0.00
2.1500     0.00000002      -128.617244      0.02      -9604.55      0.00
2.2000     0.00000002      -134.669321      0.02      -9726.11      0.00
2.2500     0.00000002      -140.860533      0.02      -9826.01      0.00
2.3000     0.00000002      -147.190881      0.02      -9973.25      0.00
2.3500     0.00000001      -153.660363      0.02      -10099.07      0.00
2.4000     0.00000001      -160.268982      0.02      -10203.38      0.00
2.4500     0.00000001      -167.016735      0.02      -10286.49      0.00
2.5000     0.00000001      -173.903624      0.02      -10417.70      0.00
2.5500     0.00000001      -180.929649      0.02      -10527.80      0.00
2.6000     0.00000001      -188.094808      0.02      -10686.65      0.00
2.6500     0.00000001      -195.399104      0.02      -10825.10      0.00
2.7000     0.00000001      -202.842534      0.02      -10942.05      0.00
2.7500     0.00000001      -210.425100      0.02      -11109.66      0.00
2.8000     0.00000001      -218.146801      0.02      -11256.23      0.00
2.8500     0.00000001      -226.007638      0.02      -11381.99      0.00
2.9000     0.00000001      -234.007610      0.02      -11559.42      0.00
2.9500     0.00000001      -242.146717      0.02      -11716.28      0.00
3.0000     0.00000001      -250.424960      0.02      -11927.49      0.00
3.0500     0.00000001      -258.842337      0.02      -12041.89      0.00
3.1000     0.00000001      -267.398851      0.02      -12288.43      0.00
3.1500     0.00000001      -276.094500      0.02      -12436.71      0.00
3.2000     0.00000001      -284.929284      0.02      -12642.66      0.00
3.2500     0.00000001      -293.903203      0.02      -12827.75      0.00
3.3000     0.00000001      -303.016258      0.02      -13073.34      0.00
3.3500     0.00000001      -312.268448      0.02      -13214.15      0.00
3.4000     0.00000001      -321.659774      0.02      -13502.56      0.00
3.4500     0.00000001      -331.190235      0.02      -13684.26      0.00
3.5000     0.00000001      -340.859832      0.02      -13931.26      0.00
3.5500     0.00000001      -350.668564      0.02      -14248.26      0.00
3.6000     0.00000001      -360.616431      0.02      -14452.96      0.00
3.6500     0.00000001      -370.703433      0.02      -14728.70      0.00
3.7000     0.00000001      -380.929571      0.02      -15080.33      0.00
3.7500     0.00000001      -391.294844      0.02      -15312.95      0.00
3.8000     0.00000001      -401.799253      0.02      -15727.51      0.00
3.8500     0.00000001      -412.442797      0.02      -16018.18      0.00
3.9000     0.00000001      -423.225476      0.02      -16394.60      0.00
3.9500     0.00000001      -434.147290      0.02      -16750.16      0.00
4.0000     0.00000001      -445.208241      0.02      -17083.36      0.00
4.0500     0.00000000      -456.408326      0.02      -17511.25      0.00
4.1000     0.00000000      -467.747547      0.02      -17920.92      0.00
4.1500     0.00000000      -479.225903      0.02      -18436.48      0.00
4.2000     0.00000000      -490.843394      0.02      -18935.72      0.00
4.2500     0.00000000      -502.600021      0.02      -19414.54      0.00
4.3000     0.00000000      -514.495784      0.02      -20018.78      0.00
4.3500     0.00000000      -526.530682      0.02      -20608.66      0.00
4.4000     0.00000000      -538.704714      0.02      -21178.20      0.00
4.4500     0.00000000      -551.017883      0.02      -21899.12      0.00
4.5000     0.00000000      -563.470187      0.02      -22605.47      0.00
4.5500     0.00000000      -576.061626      0.02      -23296.87      0.00
4.6000     0.00000000      -588.792200      0.02      -24170.50      0.00
4.6500     0.00000000      -601.661910      0.02      -25035.42      0.00
4.7000     0.00000000      -614.670755      0.02      -26122.69      0.00
4.7500     0.00000000      -627.818736      0.02      -26975.00      0.00
4.8000     0.00000000      -641.105852      0.02      -28328.19      0.00
4.8500     0.00000000      -654.532103      0.02      -29438.54      0.00
4.9000     0.00000000      -668.097490      0.02      -30847.03      0.00
4.9500     0.00000000      -681.802012      0.02      -32289.22      0.00
5.0000     0.00000000      -695.645669      0.02      -34123.52      0.00
5.0500     0.00000000      -709.628462      0.02      -36044.35      0.00
5.1000     0.00000000      -723.750390      0.02      -38052.40      0.00
5.1500     0.00000000      -738.011454      0.02      -40643.64      0.00
5.2000     0.00000000      -752.411652      0.02      -43423.51      0.00
5.2500     0.00000000      -766.950987      0.02      -46417.91      0.00
5.3000     0.00000000      -781.629457      0.02      -50366.29      0.00
5.3500     0.00000000      -796.447062      0.02      -54778.95      0.00
5.4000     0.00000000      -811.403802      0.02      -59718.18      0.00
5.4500     0.00000000      -826.499678      0.02      -66559.93      0.00
5.5000     0.00000000      -841.734689      0.02      -74624.60      0.00
5.5500     0.00000000      -857.108835      0.02      -84349.80      0.00
5.6000     0.00000000      -872.622118      0.02      -98966.73      0.00
5.6500     0.00000000      -888.274534      0.02      -118518.97      0.00
5.7000     0.00000000      -904.066087      0.02      -152144.74      0.00
5.7500     0.00000000      -919.996775      0.02      -208919.61      0.00
5.8000     0.00000000      -936.066599      0.02      -324782.32      0.00
5.8500     0.00000000      -952.275557      0.02      -852085.74      0.00
5.9000     0.00000000      -968.623651      0.02      1530926.03      0.00
5.9500     0.00000000      -985.110881      0.02      415955.92      0.00
6.0000     0.00000000      -1001.737246      0.02      244988.28      0.00
6.0500     0.00000000      -1018.502746      0.02      167857.77      0.00
6.1000     0.00000000      -1035.407381      0.02      124603.14      0.00
6.1500     0.00000000      -1052.451152      0.02      99796.61      0.00
6.2000     0.00000000      -1069.634058      0.02      83775.19      0.00
6.2500     0.00000000      -1086.956100      0.02      72498.23      0.00
6.3000     0.00000000      -1104.417277      0.02      63174.73      0.00
6.3500     0.00000000      -1122.017590      0.02      56189.01      0.00
6.4000     0.00000000      -1139.757037      0.02      50754.35      0.00
6.4500     0.00000000      -1157.635620      0.02      45898.11      0.00
6.5000     0.00000000      -1175.653339      0.02      42004.36      0.00
6.5500     0.00000000      -1193.810193      0.02      38461.08      0.00
6.6000     0.00000000      -1212.106182      0.02      35554.44      0.00
6.6500     0.00000000      -1230.541306      0.02      33124.43      0.00
6.7000     0.00000000      -1249.115566      0.02      30844.45      0.00
6.7500     0.00000000      -1267.828962      0.02      28907.78      0.00
6.8000     0.00000000      -1286.681492      0.02      27256.14      0.00
6.8500     0.00000000      -1305.673159      0.02      25671.64      0.00
6.9000     0.00000000      -1324.803960      0.02      24296.33      0.00
6.9500     0.00000000      -1344.073897      0.02      23098.36      0.00
7.0000     0.00000000      -1363.482969      0.02      21934.30      0.00
7.0500     0.00000000      -1383.031177      0.02      20909.11      0.00
7.1000     0.00000000      -1402.718519      0.02      20003.57      0.00
7.1500     0.00000000      -1422.544998      0.02      19112.49      0.00
7.2000     0.00000000      -1442.510612      0.02      18320.07      0.00
7.2500     0.00000000      -1462.615360      0.02      17542.94      0.00
7.3000     0.00000001      -1482.859245      0.02      16910.08      0.00
7.3500     0.00000001      -1503.242265      0.02      16222.76      0.00
7.4000     0.00000001      -1523.764420      0.02      15657.98      0.00
7.4500     0.00000001      -1544.425710      0.02      15096.40      0.00
7.5000     0.00000001      -1565.226136      0.02      14588.08      0.00
7.5500     0.00000001      -1586.165697      0.02      14081.52      0.00
7.6000     0.00000001      -1607.244395      0.02      13623.49      0.00
7.6500     0.00000001      -1628.462226      0.02      13202.77      0.00
7.7000     0.00000001      -1649.819194      0.02      12784.52      0.00
7.7500     0.00000001      -1671.315296      0.02      12400.66      0.00
7.8000     0.00000001      -1692.950534      0.02      12048.59      0.00
7.8500     0.00000001      -1714.724907      0.02      11696.90      0.00
7.9000     0.00000001      -1736.638417      0.02      11372.84      0.00
7.9500     0.00000001      -1758.691061      0.02      11048.58      0.00
8.0000     0.00000001      -1780.882840      0.02      10772.13      0.00
8.0500     0.00000001      -1803.213755      0.02      10472.61      0.00
8.1000     0.00000001      -1825.683805      0.02      10215.58      0.00
8.1500     0.00000002      -1848.292992      0.02      9956.76      0.00
8.2000     0.00000002      -1871.041312      0.02      9717.11      0.00
8.2500     0.00000002      -1893.928769      0.02      9475.70      0.00
8.3000     0.00000002      -1916.955360      0.02      9250.84      0.00
8.3500     0.00000002      -1940.121087      0.02      9040.80      0.00
8.4000     0.00000002      -1963.425950      0.02      8829.83      0.00
8.4500     0.00000002      -1986.869948      0.02      8646.54      0.00
8.5000     0.00000002      -2010.453082      0.02      8447.25      0.00
8.5500     0.00000002      -2034.175350      0.02      8261.36      0.00
8.6000     0.00000002      -2058.036754      0.02      8086.28      0.00
8.6500     0.00000002      -2082.037294      0.02      7921.84      0.00
8.7000     0.00000002      -2106.176968      0.02      7756.19      0.00
8.7500     0.00000003      -2130.455778      0.02      7599.97      0.00
8.8000     0.00000003      -2154.873723      0.02      7452.60      0.00
8.8500     0.00000003      -2179.430804      0.02      7304.09      0.00
8.9000     0.00000003      -2204.127021      0.02      7163.58      0.00
8.9500     0.00000003      -2228.962372      0.02      7022.12      0.00
9.0000     0.00000003      -2253.936859      0.02      6888.18      0.00
9.0500     0.00000003      -2279.050481      0.02      6761.59      0.00
9.1000     0.00000003      -2304.303239      0.02      6641.45      0.00
9.1500     0.00000004      -2329.695132      0.02      6519.77      0.00
9.2000     0.00000004      -2355.226160      0.02      6397.26      0.00
9.2500     0.00000004      -2380.896324      0.02      6287.67      0.00
9.3000     0.00000004      -2406.705624      0.02      6176.81      0.00
9.3500     0.00000004      -2432.654058      0.02      6064.91      0.00
9.4000     0.00000004      -2458.741628      0.02      5964.55      0.00
9.4500     0.00000004      -2484.968333      0.02      5862.89      0.00
9.5000     0.00000005      -2511.334174      0.02      5760.23      0.00
9.5500     0.00000005      -2537.839150      0.02      5662.20      0.00
9.6000     0.00000005      -2564.483261      0.02      5568.69      0.00
9.6500     0.00000005      -2591.266507      0.02      5478.92      0.00
9.7000     0.00000005      -2618.188890      0.02      5388.28      0.00
9.7500     0.00000005      -2645.250408      0.02      5301.57      0.00
9.8000     0.00000006      -2672.451061      0.02      5213.59      0.00
9.8500     0.00000006      -2699.790848      0.02      5133.73      0.00
9.9000     0.00000006      -2727.269772      0.02      5048.52      0.00
9.9500     0.00000006      -2754.887831      0.02      4970.73      0.00
