L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.03342412      -14.001532      0.02      122.74      12.14
0.2025     0.03345522      -23.008057      0.02      122.68      12.13
0.3025     0.03346348      -34.240720      0.02      122.66      12.13
0.4225     0.03347492      -47.699487      0.02      122.64      12.13
0.5625     0.03349146      -63.384357      0.02      122.61      12.13
0.7225     0.03350164      -81.295319      0.02      122.59      12.13
0.9025     0.03351756      -101.432388      0.02      122.56      12.12
1.1025     0.03352584      -123.795550      0.02      122.55      12.12
1.3225     0.03354178      -148.384810      0.02      122.52      12.12
1.5625     0.03355836      -175.200164      0.02      122.49      12.12
1.8225     0.03357049      -204.241619      0.02      122.47      12.11
2.1025     0.03358837      -235.509164      0.02      122.43      12.11
2.4025     0.03360180      -269.002808      0.02      122.41      12.11
2.7225     0.03361714      -304.722546      0.02      122.38      12.10
3.0625     0.03363699      -342.668383      0.02      122.35      12.10
3.4225     0.03365492      -382.840318      0.02      122.31      12.10
3.8025     0.03367351      -425.238342      0.02      122.28      12.09
4.2025     0.03369725      -469.862465      0.02      122.24      12.09
4.6225     0.03371845      -516.712686      0.02      122.20      12.09
5.0625     0.03374159      -565.789002      0.02      122.16      12.08
5.5225     0.03376540      -617.091410      0.02      122.11      12.08
6.0025     0.03379117      -670.619916      0.02      122.07      12.07
6.5025     0.03381826      -726.374519      0.02      122.02      12.07
7.0225     0.03384732      -784.355216      0.02      121.97      12.06
7.5625     0.03387771      -844.562007      0.02      121.91      12.06
8.1225     0.03391009      -906.994904      0.02      121.85      12.05
8.7025     0.03394445      -971.653885      0.02      121.79      12.05
9.3025     0.03398017      -1038.538964      0.02      121.73      12.04
9.9225     0.03401659      -1107.650147      0.02      121.66      12.03
10.5625     0.03405633      -1178.987410      0.02      121.59      12.03
11.2225     0.03409875      -1252.550777      0.02      121.52      12.02
11.9025     0.03414125      -1328.340240      0.02      121.44      12.01
12.6025     0.03418842      -1406.355807      0.02      121.36      12.01
13.3225     0.03423699      -1486.597450      0.02      121.27      12.00
14.0625     0.03428962      -1569.065198      0.02      121.18      11.99
14.8225     0.03434368      -1653.759044      0.02      121.08      11.98
15.6025     0.03440317      -1740.678997      0.02      120.98      11.97
16.4025     0.03446413      -1829.825030      0.02      120.87      11.96
17.2225     0.03452858      -1921.197149      0.02      120.76      11.95
18.0625     0.03459854      -2014.795389      0.02      120.63      11.93
18.9225     0.03467072      -2110.619717      0.02      120.51      11.92
19.8025     0.03474648      -2208.670125      0.02      120.38      11.91
20.7025     0.03482652      -2308.946641      0.02      120.24      11.90
21.6225     0.03491157      -2411.449252      0.02      120.09      11.88
22.5625     0.03500031      -2516.177959      0.02      119.94      11.87
23.5225     0.03509279      -2623.132763      0.02      119.78      11.85
24.5025     0.03519111      -2732.313654      0.02      119.61      11.84
25.5025     0.03529257      -2843.720635      0.02      119.44      11.82
26.5225     0.03540068      -2957.353728      0.02      119.26      11.80
27.5625     0.03551551      -3073.212914      0.02      119.07      11.78
