L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00009958      -14.001532      0.02      122.74      10.63
0.2025     0.00009967      -23.008057      0.02      122.68      9.20
0.3025     0.00009969      -34.240720      0.02      122.66      8.07
0.4225     0.00009973      -47.699487      0.02      122.64      7.17
0.5625     0.00009978      -63.384357      0.02      122.61      6.42
0.7225     0.00009981      -81.295319      0.02      122.59      5.79
0.9025     0.00009985      -101.432388      0.02      122.56      5.25
1.1025     0.00009988      -123.795550      0.02      122.55      4.80
1.3225     0.00009993      -148.384810      0.02      122.52      4.40
1.5625     0.00009998      -175.200164      0.02      122.49      4.06
1.8225     0.00010001      -204.241619      0.02      122.47      3.74
2.1025     0.00010006      -235.509164      0.02      122.43      3.48
2.4025     0.00010010      -269.002808      0.02      122.41      3.20
2.7225     0.00010015      -304.722546      0.02      122.38      2.97
3.0625     0.00010021      -342.668383      0.02      122.35      2.78
3.4225     0.00010026      -382.840318      0.02      122.31      2.60
3.8025     0.00010032      -425.238342      0.02      122.28      2.43
4.2025     0.00010039      -469.862465      0.02      122.24      2.27
4.6225     0.00010045      -516.712686      0.02      122.20      2.13
5.0625     0.00010052      -565.789002      0.02      122.16      1.99
5.5225     0.00010059      -617.091410      0.02      122.11      1.87
6.0025     0.00010067      -670.619916      0.02      122.07      1.75
6.5025     0.00010075      -726.374519      0.02      122.02      1.65
7.0225     0.00010084      -784.355216      0.02      121.97      1.58
7.5625     0.00010093      -844.562007      0.02      121.91      1.48
8.1225     0.00010102      -906.994904      0.02      121.85      1.38
8.7025     0.00010113      -971.653885      0.02      121.79      1.31
9.3025     0.00010123      -1038.538964      0.02      121.73      1.23
9.9225     0.00010134      -1107.650147      0.02      121.66      1.15
10.5625     0.00010146      -1178.987410      0.02      121.59      1.08
11.2225     0.00010159      -1252.550777      0.02      121.52      1.03
11.9025     0.00010171      -1328.340240      0.02      121.44      0.97
12.6025     0.00010185      -1406.355807      0.02      121.36      0.89
13.3225     0.00010200      -1486.597450      0.02      121.27      0.84
14.0625     0.00010215      -1569.065198      0.02      121.18      0.79
14.8225     0.00010231      -1653.759044      0.02      121.08      0.76
15.6025     0.00010249      -1740.678997      0.02      120.98      0.71
16.4025     0.00010267      -1829.825030      0.02      120.87      0.62
17.2225     0.00010287      -1921.197149      0.02      120.76      0.60
18.0625     0.00010307      -2014.795389      0.02      120.63      0.54
18.9225     0.00010329      -2110.619717      0.02      120.51      0.51
19.8025     0.00010351      -2208.670125      0.02      120.38      0.51
20.7025     0.00010375      -2308.946641      0.02      120.24      0.46
21.6225     0.00010401      -2411.449252      0.02      120.09      0.43
22.5625     0.00010427      -2516.177959      0.02      119.94      0.40
23.5225     0.00010455      -2623.132763      0.02      119.78      0.38
24.5025     0.00010484      -2732.313654      0.02      119.61      0.35
25.5025     0.00010514      -2843.720635      0.02      119.44      0.29
26.5225     0.00010546      -2957.353728      0.02      119.26      0.26
27.5625     0.00010581      -3073.212914      0.02      119.07      0.23
