L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.16619122      -14.001532      0.02      122.74      5.39
0.2025     0.16634588      -23.008057      0.02      122.68      5.45
0.3025     0.16638695      -34.240720      0.02      122.66      5.46
0.4225     0.16644384      -47.699487      0.02      122.64      5.46
0.5625     0.16652606      -63.384357      0.02      122.61      5.46
0.7225     0.16657669      -81.295319      0.02      122.59      5.46
0.9025     0.16665584      -101.432388      0.02      122.56      5.46
1.1025     0.16669702      -123.795550      0.02      122.55      5.46
1.3225     0.16677625      -148.384810      0.02      122.52      5.46
1.5625     0.16685872      -175.200164      0.02      122.49      5.46
1.8225     0.16691901      -204.241619      0.02      122.47      5.46
2.1025     0.16700793      -235.509164      0.02      122.43      5.45
2.4025     0.16707467      -269.002808      0.02      122.41      5.45
2.7225     0.16715099      -304.722546      0.02      122.38      5.45
3.0625     0.16724964      -342.668383      0.02      122.35      5.45
3.4225     0.16733882      -382.840318      0.02      122.31      5.45
3.8025     0.16743125      -425.238342      0.02      122.28      5.45
4.2025     0.16754930      -469.862465      0.02      122.24      5.44
4.6225     0.16765468      -516.712686      0.02      122.20      5.44
5.0625     0.16776976      -565.789002      0.02      122.16      5.44
5.5225     0.16788816      -617.091410      0.02      122.11      5.44
6.0025     0.16801629      -670.619916      0.02      122.07      5.44
6.5025     0.16815098      -726.374519      0.02      122.02      5.44
7.0225     0.16829547      -784.355216      0.02      121.97      5.43
7.5625     0.16844658      -844.562007      0.02      121.91      5.43
8.1225     0.16860755      -906.994904      0.02      121.85      5.43
8.7025     0.16877842      -971.653885      0.02      121.79      5.42
9.3025     0.16895601      -1038.538964      0.02      121.73      5.42
9.9225     0.16913711      -1107.650147      0.02      121.66      5.42
10.5625     0.16933471      -1178.987410      0.02      121.59      5.42
11.2225     0.16954563      -1252.550777      0.02      121.52      5.41
11.9025     0.16975694      -1328.340240      0.02      121.44      5.41
12.6025     0.16999145      -1406.355807      0.02      121.36      5.41
13.3225     0.17023298      -1486.597450      0.02      121.27      5.40
14.0625     0.17049466      -1569.065198      0.02      121.18      5.40
14.8225     0.17076348      -1653.759044      0.02      121.08      5.39
15.6025     0.17105926      -1740.678997      0.02      120.98      5.39
16.4025     0.17136238      -1829.825030      0.02      120.87      5.38
17.2225     0.17168283      -1921.197149      0.02      120.76      5.38
18.0625     0.17203070      -2014.795389      0.02      120.63      5.37
18.9225     0.17238959      -2110.619717      0.02      120.51      5.37
19.8025     0.17276626      -2208.670125      0.02      120.38      5.36
20.7025     0.17316425      -2308.946641      0.02      120.24      5.36
21.6225     0.17358711      -2411.449252      0.02      120.09      5.35
22.5625     0.17402837      -2516.177959      0.02      119.94      5.34
23.5225     0.17448820      -2623.132763      0.02      119.78      5.34
24.5025     0.17497703      -2732.313654      0.02      119.61      5.33
25.5025     0.17548154      -2843.720635      0.02      119.44      5.32
26.5225     0.17601905      -2957.353728      0.02      119.26      5.31
27.5625     0.17659002      -3073.212914      0.02      119.07      5.30
