L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1000     2.69341138      2.713046      0.13      0.75      2.28
0.1500     5.35299982      3.431909      0.13      0.53      1.71
0.2000     8.35519159      4.167419      0.12      0.42      1.41
0.2500     11.74315814      4.876381      0.12      0.36      1.22
0.3000     15.25565165      5.570186      0.12      0.31      1.08
0.3500     19.30793476      6.216213      0.12      0.28      0.98
0.4000     23.66699711      6.821087      0.12      0.25      0.89
0.4500     28.53506506      7.358405      0.12      0.23      0.82
0.5000     34.32521923      7.833282      0.12      0.21      0.76
0.5500     41.09049475      8.223614      0.12      0.19      0.71
0.6000     48.79665144      8.531066      0.12      0.18      0.66
0.6500     58.89284465      8.737748      0.12      0.16      0.61
0.7000     70.26717913      8.843769      0.12      0.15      0.56
0.7500     85.28550233      8.832091      0.12      0.13      0.52
0.8000     105.68844259      8.704595      0.12      0.12      0.48
0.8500     134.39512752      8.440971      0.12      0.11      0.44
0.9000     172.37848040      8.045608      0.12      0.09      0.40
0.9500     229.07317815      7.502985      0.12      0.08      0.35
1.0000     319.13876890      6.809986      0.12      0.07      0.31
1.0500     475.00614481      5.952888      0.12      0.06      0.26
1.1000     780.74645916      4.929801      0.12      0.04      0.22
1.1500     1514.68796705      3.731839      0.12      0.03      0.16
1.2000     4109.04971405      2.350259      0.12      0.02      0.11
1.2500     47500.61471986      0.777547      0.12      0.01      0.06
1.3000     32986.53799917      -0.996896      0.12      -0.01      0.01
1.3500     3665.17088665      -2.966527      0.12      -0.02      -0.03
1.4000     1235.70797684      -5.165246      0.12      -0.03      -0.06
1.4500     642.24735727      -7.579299      0.12      -0.05      -0.07
1.5000     378.67198995      -10.228331      0.12      -0.06      -0.09
1.5500     272.61601413      -12.546806      0.12      -0.07      -0.10
1.6000     172.37848040      -16.234481      0.12      -0.09      -0.10
1.6500     126.21057980      -19.509750      0.12      -0.11      -0.09
1.7000     92.99986978      -23.272845      0.12      -0.13      -0.06
1.7500     71.36081533      -27.174199      0.12      -0.14      -0.03
1.8000     56.48110903      -31.367377      0.12      -0.16      0.01
1.8500     45.24902091      -35.805006      0.12      -0.18      0.06
1.9000     36.24783398      -40.636997      0.12      -0.20      0.12
1.9500     29.68788179      -45.720266      0.12      -0.22      0.19
2.0000     24.53543908      -51.114760      0.12      -0.25      0.25
2.0500     20.61658384      -56.411963      0.12      -0.27      0.32
2.1000     16.91014879      -62.882190      0.12      -0.30      0.40
2.1500     14.21816270      -69.265598      0.12      -0.32      0.48
2.2000     11.89227615      -76.012161      0.12      -0.36      0.56
2.2500     10.03511258      -83.137253      0.12      -0.39      0.63
2.3000     8.44455132      -90.598638      0.12      -0.42      0.71
2.3500     7.13376446      -98.435953      0.12      -0.46      0.79
2.4000     5.99679278      -106.715856      0.12      -0.50      0.88
2.4500     5.06930368      -115.352429      0.12      -0.54      0.97
2.5000     4.25962285      -124.406907      0.12      -0.59      1.06
2.5500     3.56687031      -133.901074      0.12      -0.65      1.17
2.6000     2.98249805      -143.790200      0.12      -0.71      1.28
2.6500     2.50149925      -153.910811      0.12      -0.77      1.40
2.7000     2.09992149      -164.176292      0.12      -0.85      1.53
2.7500     1.69102716      -176.211294      0.12      -0.94      1.71
2.8000     1.37596393      -187.980027      0.12      -1.04      1.90
2.8500     1.12589378      -199.631915      0.12      -1.15      2.09
2.9000     0.88099534      -212.973460      0.12      -1.30      2.37
2.9500     0.68987443      -226.210095      0.12      -1.47      2.68
3.0000     0.53131843      -239.827946      0.12      -1.68      3.05
3.0500     0.39540255      -254.305064      0.11      -1.95      3.54
3.1000     0.28788282      -268.946011      0.11      -2.28      4.14
3.1500     0.19848197      -284.451518      0.11      -2.75      5.00
3.2000     0.12756943      -300.678877      0.11      -3.43      6.23
3.2500     0.07462720      -317.374849      0.11      -4.48      8.13
3.3000     0.03738258      -334.537616      0.10      -6.33      11.50
3.3500     0.01339431      -352.412989      0.09      -10.58      18.98
3.4000     0.00165789      -370.937270      0.06      -30.08      21.72
3.4500     0.00082501      -389.510930      -0.02      42.64      20.64
3.5000     0.01037757      -409.916031      -0.31      12.02      20.45
3.5500     0.02814775      -429.938396      -0.87      7.30      13.23
3.6000     0.05568171      -451.621837      -1.79      5.19      9.46
3.6500     0.08489531      -471.258786      -2.83      4.20      7.62
3.7000     0.13063411      -495.797596      -4.56      3.39      6.16
3.7500     0.17965084      -519.606325      -6.53      2.89      5.26
3.8000     0.22944145      -542.396298      -8.64      2.56      4.64
3.8500     0.29045130      -567.795584      -11.37      2.27      4.12
3.9000     0.35810998      -594.314091      -14.57      2.05      3.71
3.9500     0.42630861      -620.450530      -17.98      1.88      3.41
4.0000     0.49110722      -644.973506      -21.33      1.75      3.18
4.0500     0.52497856      -660.901911      -23.13      1.69      3.07
4.1000     0.66035899      -704.264777      -30.82      1.51      2.74
4.1500     0.75516661      -736.113026      -36.51      1.41      2.56
4.2000     0.82603720      -761.560127      -40.93      1.35      2.44
4.2500     0.90263307      -788.068265      -45.76      1.29      2.34
4.3000     1.02188187      -826.121647      -53.83      1.21      2.20
4.3500     1.14364163      -864.740602      -62.44      1.15      2.08
4.4000     1.22147491      -891.098690      -67.86      1.11      2.01
4.4500     1.36419101      -934.727113      -78.57      1.05      1.90
4.5000     1.47588882      -970.347728      -87.21      1.01      1.83
4.5500     1.53695378      -992.863226      -91.89      0.99      1.79
4.6000     1.72378242      -1047.884679      -107.29      0.93      1.69
4.6500     1.38489392      -966.587860      -79.04      1.04      1.89
4.7000     2.00289077      -1132.365215      -130.85      0.87      1.57
4.7500     2.14532394      -1175.480381      -143.39      0.84      1.52
4.8000     2.29072939      -1219.716618      -156.62      0.81      1.47
4.8500     2.44440551      -1264.882810      -170.49      0.78      1.42
4.9000     2.59096471      -1308.160369      -183.89      0.76      1.38
4.9500     2.72615775      -1348.649060      -196.41      0.74      1.34
5.0000     2.94504159      -1407.682644      -216.60      0.71      1.29
5.0500     3.10929517      -1452.583945      -231.39      0.69      1.26
5.1000     3.32075286      -1509.709373      -251.52      0.67      1.22
5.1500     3.53006705      -1563.376268      -270.53      0.65      1.18
5.2000     3.41141778      -1545.487303      -259.06      0.66      1.20
5.2500     3.95437505      -1670.710057      -309.40      0.62      1.11
5.3000     4.21162745      -1732.367355      -332.83      0.60      1.08
5.3500     3.46998186      -1581.205603      -262.79      0.66      1.19
5.4000     4.73111566      -1848.645627      -377.42      0.56      1.01
5.4500     4.94591749      -1894.441377      -394.30      0.55      0.99
5.5000     5.37580279      -1976.253576      -428.45      0.53      0.94
5.5500     4.90578849      -1905.651795      -390.53      0.55      0.99
5.6000     6.13385796      -2112.925268      -485.10      0.49      0.87
5.6500     6.54364726      -2179.293327      -512.92      0.48      0.84
5.7000     4.80757694      -1914.119238      -381.18      0.56      1.00
5.7500     7.23984132      -2284.897850      -555.61      0.46      0.79
5.8000     8.22378823      -2400.937602      -609.54      0.43      0.73
5.8500     8.67432460      -2454.843016      -631.97      0.42      0.70
5.9000     9.80574610      -2557.764193      -680.25      0.39      0.63
5.9500     10.64501326      -2630.631910      -713.13      0.38      0.58
6.0000     11.81736435      -2713.159668      -751.44      0.36      0.50
6.0500     13.37231604      -2802.962271      -794.01      0.33      0.39
6.1000     10.97102860      -2698.729236      -732.05      0.37      0.57
6.1500     15.03926214      -2904.571592      -837.30      0.32      0.23
6.2000     20.11067462      -3059.132248      -916.52      0.27      -3.40
6.2500     19.00024348      -3055.315936      -908.05      0.28      -0.86
6.3000     27.18608234      -3213.692904      -990.43      0.23      1.25
6.3500     30.59896608      -3273.919086      -1017.97      0.22      1.02
6.4000     65.15859117      -3468.742866      -1122.94      0.15      0.40
6.4500     88.25173422      -3542.827846      -1158.99      0.13      -0.39
6.5000     211.11384080      -3662.034689      -1221.61      0.08      0.82
6.5500     969.40029804      -3768.850505      -1277.38      0.04      0.26
6.6000     11875.15367816      -3878.567860      -1335.22      -0.01      2.14
6.6500     222.84018675      -4003.311398      -1402.43      -0.08      0.73
6.7000     200.28931586      -4040.121629      -1417.01      -0.09      0.78
6.7500     128.85366166      -4096.766580      -1443.54      -0.11      1.12
6.8000     10.77365276      -4363.557587      -1598.13      -0.37      0.57
6.8500     44.15211568      -3614.707099      -1145.48      0.18      0.71
6.9000     2.63750810      -4615.924339      -1737.98      -0.75      1.37
6.9500     1.23144611      -4749.175958      -1812.88      -1.10      2.00
7.0000     16.28964598      -3274.744915      -935.93      0.30      0.30
7.0500     0.11907105      -5047.077778      -1983.78      -3.55      6.44
7.1000     6.70000136      -4625.286180      -1711.24      -0.47      0.84
7.1500     0.00532647      -5316.379377      -2138.20      16.78      21.87
7.2000     0.09286091      -5499.292849      -2247.10      4.02      7.28
7.2500     0.20479585      -5648.851179      -2334.96      2.71      4.92
7.3000     32.89516014      -3739.087578      -1156.29      0.21      1.07
7.3500     0.00101674      -5407.539925      -2161.11      -38.41      21.38
7.4000     31.88046064      -3772.517656      -1162.06      0.22      1.17
7.4500     0.85140895      -6300.727284      -2725.75      1.33      2.41
7.5000     0.71360577      -6237.184147      -2673.82      1.45      2.63
7.5500     1.16873831      -6613.773177      -2914.94      1.13      2.06
7.6000     1.06490390      -6573.431825      -2877.89      1.19      2.15
7.6500     1.16642282      -5247.929458      -2008.27      -1.13      2.06
7.7000     1.71138856      -7148.291144      -3245.27      0.94      1.70
7.7500     30.59896608      -3915.521002      -1197.02      0.22      1.49
7.8000     2.14532394      -7573.503530      -3514.81      0.84      1.52
7.8500     0.45081658      -6305.204575      -2651.59      1.82      3.32
7.9000     2.56061689      -7994.392456      -3783.60      0.77      1.39
7.9500     2.70971037      -8163.190902      -3889.74      0.74      1.35
8.0000     2.94504159      -8397.694783      -4042.08      0.71      1.29
8.0500     3.06943279      -8539.258198      -4129.75      0.70      1.27
8.1000     2.80205650      -8350.327315      -3986.20      0.73      1.33
8.1500     3.73319564      -9162.324768      -4545.95      0.63      1.15
8.2000     2.56061689      -8215.946622      -3870.40      0.77      1.39
8.2500     3.57926603      -9107.752807      -4483.37      0.65      1.17
8.3000     4.61979914      -9942.274463      -5066.56      0.57      1.03
8.3500     4.35810804      -9803.249525      -4954.29      0.59      1.06
8.4000     4.10274412      -9643.023672      -4827.47      0.60      1.09
8.4500     5.68599737      -10740.970002      -5605.98      0.51      0.92
8.5000     6.19000284      -11051.682034      -5819.36      0.49      0.87
8.5500     6.57447713      -11280.884299      -5973.73      0.48      0.84
8.6000     111.93471038      -4712.590239      -1538.82      0.12      -0.12
8.6500     7.97011335      -11917.714797      -6414.99      0.43      0.74
8.7000     7.61105587      -11847.800437      -6349.68      0.44      0.77
8.7500     8.96264830      -12322.012462      -6686.35      0.41      0.68
8.8000     7.68871923      -11984.449045      -6423.01      0.44      0.77
8.8500     8.96264830      -12429.419677      -6738.00      0.41      0.68
8.9000     16.53368226      -13577.620651      -7580.67      0.30      12.13
8.9500     7.16886289      -11944.956421      -6353.17      0.46      0.80
9.0000     23.87973312      -14096.881966      -7942.06      0.25      0.79
9.0500     46.38731665      -14607.684669      -8313.45      0.18      1.58
9.1000     77.23174629      -14886.997603      -8510.20      0.14      0.58
9.1500     537.58051731      -15316.542815      -8821.80      0.05      -0.05
9.2000     25.21852778      -14444.535877      -8144.51      0.24      0.75
9.2500     216.85817291      -15876.467386      -9218.28      -0.08      0.60
9.3000     47500.61471986      -15723.189426      -9085.19      0.01      0.47
9.3500     37.06236668      -16288.656845      -9502.40      -0.20      0.18
9.4000     439.16988222      -15712.202595      -9045.42      0.06      0.27
9.4500     0.00383605      -17912.898740      -10724.40      19.77      22.01
9.5000     0.17702467      -18399.938889      -11086.50      2.91      5.30
9.5500     0.24095112      -17694.715104      -10521.40      -2.50      4.53
9.6000     0.14869209      -18545.854241      -11166.00      3.18      5.78
9.6500     0.84567073      -19548.554195      -11932.80      1.33      2.42
9.7000     1.39693644      -20349.283159      -12544.80      1.04      1.88
9.7500     0.48859033      -17953.119250      -10654.90      -1.75      3.19
