L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00067048      -14.267071      0.01      72.25      20.90
0.2025     0.00067065      -23.344403      0.01      72.24      20.74
0.3025     0.00067080      -34.647936      0.01      72.23      20.63
0.4225     0.00067095      -48.177608      0.01      72.23      20.53
0.5625     0.00067112      -63.933403      0.01      72.22      20.46
0.7225     0.00067128      -81.915307      0.01      72.21      20.40
0.9025     0.00067143      -102.123322      0.01      72.20      20.35
1.1025     0.00067156      -124.557438      0.01      72.19      20.30
1.3225     0.00067177      -149.217658      0.01      72.18      20.27
1.5625     0.00067194      -176.103975      0.01      72.17      20.23
1.8225     0.00067209      -205.216405      0.01      72.16      20.21
2.1025     0.00067226      -236.554908      0.01      72.15      20.18
2.4025     0.00067245      -270.119522      0.01      72.14      20.16
2.7225     0.00067264      -305.910231      0.01      72.13      20.14
3.0625     0.00067285      -343.927040      0.01      72.12      20.12
3.4225     0.00067307      -384.169948      0.01      72.11      20.10
3.8025     0.00067330      -426.638947      0.01      72.10      20.09
4.2025     0.00067355      -471.334045      0.01      72.09      20.07
4.6225     0.00067381      -518.255241      0.01      72.07      20.06
5.0625     0.00067409      -567.402533      0.01      72.06      20.05
5.5225     0.00067438      -618.775917      0.01      72.04      20.04
6.0025     0.00067470      -672.375400      0.01      72.02      20.02
6.5025     0.00067502      -728.200982      0.01      72.01      20.02
7.0225     0.00067539      -786.252655      0.01      71.99      20.01
7.5625     0.00067573      -846.530424      0.01      71.97      20.00
8.1225     0.00067611      -909.034291      0.01      71.95      19.99
8.7025     0.00067652      -973.764258      0.01      71.93      19.98
9.3025     0.00067693      -1040.720315      0.01      71.91      19.97
9.9225     0.00067738      -1109.902477      0.01      71.88      19.97
10.5625     0.00067785      -1181.310718      0.01      71.86      19.96
11.2225     0.00067834      -1254.945065      0.01      71.83      19.95
11.9025     0.00067886      -1330.805507      0.01      71.80      19.95
12.6025     0.00067942      -1408.892060      0.01      71.77      19.94
13.3225     0.00067998      -1489.204676      0.01      71.74      19.94
14.0625     0.00068061      -1571.743404      0.01      71.71      19.93
14.8225     0.00068125      -1656.508229      0.01      71.68      19.93
15.6025     0.00068195      -1743.499161      0.01      71.64      19.92
16.4025     0.00068268      -1832.716174      0.01      71.60      19.91
17.2225     0.00068344      -1924.159274      0.01      71.56      19.91
18.0625     0.00068427      -2017.828498      0.01      71.52      19.90
18.9225     0.00068512      -2113.723802      0.01      71.47      19.90
19.8025     0.00068604      -2211.845190      0.01      71.43      19.89
20.7025     0.00068698      -2312.192686      0.01      71.38      19.89
21.6225     0.00068799      -2414.766276      0.01      71.33      19.89
22.5625     0.00068902      -2519.565964      0.01      71.27      20.01
23.5225     0.00069012      -2626.591748      0.01      71.22      20.01
24.5025     0.00069127      -2735.843621      0.01      71.16      20.00
25.5025     0.00069249      -2847.321582      0.01      71.09      20.00
26.5225     0.00069377      -2961.025655      0.01      71.03      19.99
27.5625     0.00069511      -3076.955821      0.01      70.96      19.99
