L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1000     0.03617415      -2.241713      -1.00      72.33      11.68
0.1500     0.03617415      -3.071160      -1.00      5.99      11.68
0.2000     0.03617560      -4.040318      -1.00      10.69      11.68
0.2500     0.03617187      -5.148616      -1.00      10.90      11.68
0.3000     0.03617487      -6.396654      -1.00      10.54      11.68
0.3500     0.03617632      -7.784050      -1.00      10.13      11.68
0.4000     0.03617111      -9.310285      -1.00      9.76      11.68
0.4500     0.03617379      -10.976383      -1.00      9.45      11.68
0.5000     0.03617162      -12.781292      -1.00      9.18      11.68
0.5500     0.03617596      -14.726142      -1.00      8.95      11.68
0.6000     0.03617451      -16.809452      -1.00      8.76      11.68
0.6500     0.03617451      -19.032172      -1.00      8.59      11.68
0.7000     0.03616927      -21.393485      -1.00      8.45      11.69
0.7500     0.03617813      -23.895742      -1.00      8.32      11.68
0.8000     0.03617154      -26.535099      -1.00      8.21      11.68
0.8500     0.03617560      -29.315056      -1.00      8.10      11.68
0.9000     0.03617596      -32.233686      -1.00      8.01      11.68
0.9500     0.03617921      -35.292013      -1.00      7.93      11.68
1.0000     0.03617035      -38.487548      -1.00      7.86      11.68
1.0500     0.03617632      -41.824482      -1.00      7.80      11.68
1.1000     0.03616887      -45.298440      -1.00      7.74      11.68
1.1500     0.03616782      -48.912473      -1.00      7.68      11.69
1.2000     0.03617921      -52.668115      -1.00      7.63      11.68
1.2500     0.03617039      -56.559010      -1.00      7.58      11.68
1.3000     0.03617487      -60.591676      -1.00      7.54      11.68
1.3500     0.03617238      -64.761951      -1.00      7.50      11.68
1.4000     0.03617632      -69.072888      -1.00      7.46      11.68
1.4500     0.03618066      -73.522999      -1.00      7.43      11.68
1.5000     0.03617191      -78.109414      -1.00      7.39      11.68
1.5500     0.03617596      -82.837680      -1.00      7.36      11.68
1.6000     0.03616576      -87.701880      -1.00      7.34      11.69
1.6500     0.03617740      -92.710518      -1.00      7.31      11.68
1.7000     0.03617632      -97.854950      -1.00      7.28      11.68
1.7500     0.03616424      -103.135860      -1.00      7.26      11.69
1.8000     0.03617140      -108.560795      -1.00      7.24      11.68
1.8500     0.03617849      -114.124972      -1.00      7.21      11.68
1.9000     0.03616995      -119.823997      -1.00      7.20      11.68
1.9500     0.03617147      -125.664903      -1.00      7.18      11.68
2.0000     0.03618355      -131.648110      -1.00      7.16      11.68
2.0500     0.03619585      -137.770695      -1.00      7.14      11.68
2.1000     0.03616297      -144.018585      -1.00      7.12      11.69
2.1500     0.03617487      -150.419309      -1.00      7.11      11.68
2.2000     0.03616315      -156.951738      -1.00      7.09      11.69
2.2500     0.03615078      -163.622892      -1.00      7.08      11.69
2.3000     0.03616250      -170.441081      -1.00      7.07      11.69
2.3500     0.03617451      -177.398640      -1.00      7.05      11.68
2.4000     0.03618681      -184.495572      -1.00      7.04      11.68
2.4500     0.03619875      -191.731881      -1.00      7.02      11.68
2.5000     0.03617125      -199.092980      -1.00      7.02      11.68
2.5500     0.03617632      -206.604978      -1.00      7.00      11.68
2.6000     0.03616760      -214.250933      -1.00      6.99      11.69
2.6500     0.03617957      -222.043830      -1.00      6.98      11.68
2.7000     0.03617028      -229.967678      -1.00      6.97      11.68
2.7500     0.03616011      -238.030314      -1.00      6.96      11.69
2.8000     0.03620236      -246.252776      -1.00      6.95      11.68
2.8500     0.03617668      -254.587449      -1.00      6.94      11.68
2.9000     0.03618102      -263.073321      -1.00      6.94      11.68
2.9500     0.03616974      -271.691729      -1.00      6.93      11.68
3.0000     0.03615794      -280.448877      -1.00      6.92      11.69
3.0500     0.03616999      -289.355353      -1.00      6.91      11.68
3.1000     0.03618211      -298.401207      -1.00      6.90      11.68
3.1500     0.03617777      -307.578932      -1.00      6.90      11.68
3.2000     0.03617270      -316.895587      -1.00      6.89      11.68
3.2500     0.03617632      -326.355150      -1.00      6.88      11.68
3.3000     0.03617523      -335.951813      -1.00      6.88      11.68
3.3500     0.03617451      -345.687505      -1.00      6.87      11.68
3.4000     0.03617777      -355.564393      -1.00      6.86      11.68
3.4500     0.03617191      -365.575962      -1.00      6.86      11.68
3.5000     0.03617487      -375.731011      -1.00      6.85      11.68
3.5500     0.03617777      -386.025198      -1.00      6.85      11.68
3.6000     0.03617596      -396.456101      -1.00      6.84      11.68
3.6500     0.03617415      -407.026010      -1.00      6.83      11.68
