L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00023234      -14.001532      0.02      122.74      17.53
0.2025     0.00023256      -23.008057      0.02      122.68      16.89
0.3025     0.00023262      -34.240720      0.02      122.66      16.37
0.4225     0.00023270      -47.699487      0.02      122.64      15.94
0.5625     0.00023281      -63.384357      0.02      122.61      15.58
0.7225     0.00023288      -81.295319      0.02      122.59      15.27
0.9025     0.00023299      -101.432388      0.02      122.56      15.01
1.1025     0.00023305      -123.795550      0.02      122.55      14.78
1.3225     0.00023316      -148.384810      0.02      122.52      14.58
1.5625     0.00023328      -175.200164      0.02      122.49      14.40
1.8225     0.00023336      -204.241619      0.02      122.47      14.24
2.1025     0.00023348      -235.509164      0.02      122.43      14.10
2.4025     0.00023358      -269.002808      0.02      122.41      13.97
2.7225     0.00023368      -304.722546      0.02      122.38      13.85
3.0625     0.00023382      -342.668383      0.02      122.35      13.75
3.4225     0.00023395      -382.840318      0.02      122.31      13.65
3.8025     0.00023408      -425.238342      0.02      122.28      13.56
4.2025     0.00023424      -469.862465      0.02      122.24      13.48
4.6225     0.00023439      -516.712686      0.02      122.20      13.40
5.0625     0.00023455      -565.789002      0.02      122.16      13.33
5.5225     0.00023471      -617.091410      0.02      122.11      13.26
6.0025     0.00023489      -670.619916      0.02      122.07      13.20
6.5025     0.00023508      -726.374519      0.02      122.02      13.15
7.0225     0.00023528      -784.355216      0.02      121.97      13.08
7.5625     0.00023550      -844.562007      0.02      121.91      13.04
8.1225     0.00023572      -906.994904      0.02      121.85      12.99
8.7025     0.00023596      -971.653885      0.02      121.79      12.94
9.3025     0.00023621      -1038.538964      0.02      121.73      12.90
9.9225     0.00023646      -1107.650147      0.02      121.66      12.86
10.5625     0.00023674      -1178.987410      0.02      121.59      12.82
11.2225     0.00023703      -1252.550777      0.02      121.52      12.78
11.9025     0.00023733      -1328.340240      0.02      121.44      12.75
12.6025     0.00023766      -1406.355807      0.02      121.36      12.71
13.3225     0.00023799      -1486.597450      0.02      121.27      12.69
14.0625     0.00023836      -1569.065198      0.02      121.18      12.66
14.8225     0.00023873      -1653.759044      0.02      121.08      12.62
15.6025     0.00023915      -1740.678997      0.02      120.98      12.60
16.4025     0.00023957      -1829.825030      0.02      120.87      12.57
17.2225     0.00024002      -1921.197149      0.02      120.76      12.54
18.0625     0.00024051      -2014.795389      0.02      120.63      12.52
18.9225     0.00024101      -2110.619717      0.02      120.51      12.50
19.8025     0.00024153      -2208.670125      0.02      120.38      12.48
20.7025     0.00024209      -2308.946641      0.02      120.24      12.46
21.6225     0.00024268      -2411.449252      0.02      120.09      12.43
22.5625     0.00024330      -2516.177959      0.02      119.94      12.41
23.5225     0.00024394      -2623.132763      0.02      119.78      12.39
24.5025     0.00024463      -2732.313654      0.02      119.61      12.37
25.5025     0.00024533      -2843.720635      0.02      119.44      12.35
26.5225     0.00024608      -2957.353728      0.02      119.26      12.34
27.5625     0.00024688      -3073.212914      0.02      119.07      12.32
