L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.1225     0.00687070      -14.001532      0.02      122.74      21.61
0.2025     0.00687709      -23.008057      0.02      122.68      21.61
0.3025     0.00687879      -34.240720      0.02      122.66      21.61
0.4225     0.00688114      -47.699487      0.02      122.64      21.61
0.5625     0.00688454      -63.384357      0.02      122.61      21.61
0.7225     0.00688663      -81.295319      0.02      122.59      21.61
0.9025     0.00688991      -101.432388      0.02      122.56      21.61
1.1025     0.00689161      -123.795550      0.02      122.55      21.61
1.3225     0.00689488      -148.384810      0.02      122.52      21.60
1.5625     0.00689829      -175.200164      0.02      122.49      21.60
1.8225     0.00690079      -204.241619      0.02      122.47      21.60
2.1025     0.00690446      -235.509164      0.02      122.43      21.60
2.4025     0.00690722      -269.002808      0.02      122.41      21.60
2.7225     0.00691038      -304.722546      0.02      122.38      21.60
3.0625     0.00691445      -342.668383      0.02      122.35      21.60
3.4225     0.00691814      -382.840318      0.02      122.31      21.60
3.8025     0.00692196      -425.238342      0.02      122.28      21.60
4.2025     0.00692684      -469.862465      0.02      122.24      21.60
4.6225     0.00693120      -516.712686      0.02      122.20      21.60
5.0625     0.00693596      -565.789002      0.02      122.16      21.60
5.5225     0.00694085      -617.091410      0.02      122.11      21.59
6.0025     0.00694615      -670.619916      0.02      122.07      21.59
6.5025     0.00695172      -726.374519      0.02      122.02      21.59
7.0225     0.00695769      -784.355216      0.02      121.97      21.59
7.5625     0.00696394      -844.562007      0.02      121.91      21.59
8.1225     0.00697059      -906.994904      0.02      121.85      21.59
8.7025     0.00697766      -971.653885      0.02      121.79      21.59
9.3025     0.00698500      -1038.538964      0.02      121.73      21.58
9.9225     0.00699249      -1107.650147      0.02      121.66      21.58
10.5625     0.00700066      -1178.987410      0.02      121.59      21.58
11.2225     0.00700938      -1252.550777      0.02      121.52      21.58
11.9025     0.00701811      -1328.340240      0.02      121.44      21.58
12.6025     0.00702781      -1406.355807      0.02      121.36      21.58
13.3225     0.00703779      -1486.597450      0.02      121.27      21.57
14.0625     0.00704861      -1569.065198      0.02      121.18      21.57
14.8225     0.00705972      -1653.759044      0.02      121.08      21.57
15.6025     0.00707195      -1740.678997      0.02      120.98      21.57
16.4025     0.00708448      -1829.825030      0.02      120.87      21.56
17.2225     0.00709773      -1921.197149      0.02      120.76      21.56
18.0625     0.00711211      -2014.795389      0.02      120.63      21.56
18.9225     0.00712695      -2110.619717      0.02      120.51      21.55
19.8025     0.00714252      -2208.670125      0.02      120.38      21.55
20.7025     0.00715898      -2308.946641      0.02      120.24      21.54
21.6225     0.00717646      -2411.449252      0.02      120.09      21.54
22.5625     0.00719470      -2516.177959      0.02      119.94      21.54
23.5225     0.00721371      -2623.132763      0.02      119.78      21.53
24.5025     0.00723392      -2732.313654      0.02      119.61      21.53
25.5025     0.00725478      -2843.720635      0.02      119.44      21.52
26.5225     0.00727700      -2957.353728      0.02      119.26      21.52
27.5625     0.00730061      -3073.212914      0.02      119.07      21.51
