L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.0500     0.03617523      -1.551665      -1.00      36.73      11.68
0.1000     0.03617415      -2.241663      -1.00      72.33      11.68
0.1600     0.03617317      -3.253824      -1.00      8.00      11.68
0.2000     0.03617375      -4.040227      -1.00      10.69      11.68
0.2200     0.03617263      -4.466827      -1.00      10.93      11.68
0.2500     0.03617042      -5.148500      -1.00      10.90      11.68
0.3000     0.03617165      -6.396510      -1.00      10.54      11.68
0.3500     0.03650261      -7.808300      -1.01      10.10      11.63
0.4000     0.03616854      -9.310076      -1.00      9.76      11.68
0.4500     0.03617053      -10.976136      -1.00      9.45      11.68
0.5000     0.03617487      -12.781630      -1.00      9.18      11.68
0.5500     0.03617324      -14.725811      -1.00      8.95      11.68
0.6000     0.03617111      -16.809075      -1.00      8.76      11.68
0.6500     0.03617013      -19.031745      -1.00      8.59      11.68
0.7000     0.03617415      -21.394050      -1.00      8.45      11.68
0.7500     0.03616460      -23.894037      -1.00      8.32      11.69
0.8000     0.03617668      -26.535800      -1.00      8.20      11.68
0.9000     0.03617632      -32.233750      -1.00      8.01      11.68
0.9500     0.03617415      -35.291220      -1.00      7.94      11.68
1.0000     0.03617632      -38.488530      -1.00      7.86      11.68
1.0500     0.03617560      -41.824410      -1.00      7.80      11.68
1.1000     0.03617523      -45.299490      -1.00      7.74      11.68
1.2000     0.03616796      -52.665960      -1.00      7.63      11.69
1.5000     0.03617921      -78.111060      -1.00      7.39      11.68
2.0000     0.03617668      -131.645980      -1.00      7.16      11.68
3.0000     0.03617668      -280.456910      -1.00      6.92      11.68
4.0000     0.03617849      -484.920930      -1.00      6.80      11.68
6.0000     0.03617100      -1060.796700      -1.00      6.68      11.68
10.0000     0.03617596      -2880.386500      -1.00      6.58      11.68
