lambda[fm^-1] alpha[fm^-2]    C0[MeV]
5.9498     0.00136997      -1094.13399062
5.9666     0.00130567      -1106.37057147
5.9833     0.00133112      -1118.86401404
6.0000     0.00129204      -1131.29019953
6.0166     0.00130440      -1143.89516414
6.0332     0.00131684      -1156.56996350
6.0498     0.00138265      -1169.42846563
6.0663     0.00131529      -1182.07150714
6.0828     0.00132774      -1194.95518254
6.0992     0.00136731      -1207.96750535
6.1156     0.00129872      -1220.81312571
6.1319     0.00131088      -1233.90501943
6.1482     0.00133681      -1247.09710142
6.1644     0.00141896      -1260.48239849
6.1806     0.00132014      -1273.53762451
6.1968     0.00130470      -1286.84549133
6.2129     0.00131672      -1300.28519711
6.2290     0.00132885      -1313.79472065
6.2450     0.00136948      -1327.43870730
6.2610     0.00135334      -1341.02321947
6.2769     0.00139462      -1354.80817348
6.2929     0.00140725      -1368.59763797
6.3087     0.00136145      -1382.32227298
