L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
0.0500     17.43243939      0.324254      0.12      0.29      1.33
0.1000     229.07317815      0.245683      0.12      0.08      0.43
0.1600     131946.15200391      0.019051      0.12      0.00      0.05
0.2000     2061.65862269      -0.223247      0.12      -0.03      -0.05
0.2200     969.40029804      -0.374771      0.12      -0.04      -0.07
0.2500     475.00614481      -0.641646      0.12      -0.06      -0.11
0.3000     229.07317815      -1.206821      0.12      -0.08      -0.15
0.3500     128.85366166      -1.980642      0.12      -0.11      -0.17
0.4000     92.99986978      -2.827770      0.12      -0.13      -0.19
0.4500     67.13298238      -3.913091      0.12      -0.15      -0.19
0.5000     50.07232716      -5.208937      0.12      -0.17      -0.17
0.5500     38.77600961      -6.717922      0.12      -0.20      -0.14
0.6000     30.59896608      -8.468272      0.12      -0.22      -0.09
0.6500     24.53543908      -10.463006      0.12      -0.25      -0.03
0.7000     19.78367719      -12.734446      0.12      -0.28      0.05
0.7500     16.16964898      -15.276076      0.12      -0.30      0.14
0.8000     13.28301867      -18.137452      0.12      -0.34      0.25
0.9000     9.06195669      -24.812643      0.12      -0.41      0.49
0.9500     7.49674873      -28.664479      0.12      -0.45      0.61
1.0000     6.21836480      -32.911014      0.12      -0.49      0.74
1.0500     5.15414415      -37.526812      0.12      -0.54      0.86
1.1000     4.25962285      -42.570387      0.12      -0.59      1.00
1.2000     2.89016620      -53.970511      0.12      -0.72      1.27
1.5000     0.74444245      -100.476136      0.12      -1.42      2.57
2.0000     0.00427350      -232.412644      -0.12      18.74      21.97
3.0000     1.80549774      -854.107499      -133.83      0.91      1.65
4.0000     18.69984906      -2495.364191      -896.41      -0.28      1.15
6.0000     4.04241044      -16915.630213      -11240.30      0.61      1.06
10.0000     10.15282554      -29933.495440      -20162.10      0.38      0.52
