L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
{3.6000  ,   0.03205846  ,    -396.456101  },    -1.00      6.84      12.41
{3.6500  ,   0.03211121  ,    -407.026010  },    -1.00      6.83      12.40
{3.7000  ,   0.03216408  ,    -417.734919  },    -1.00      6.83      12.39
{3.7500  ,   0.03220648  ,    -428.582825  },    -1.00      6.82      12.38
{3.8000  ,   0.03225959  ,    -439.572405  },    -1.00      6.82      12.37
{3.8500  ,   0.03229152  ,    -450.695609  },    -1.00      6.82      12.37
{3.9000  ,   0.03235552  ,    -461.968934  },    -1.00      6.81      12.35
{3.9500  ,   0.03239829  ,    -473.375878  },    -1.00      6.80      12.35
{4.0000  ,   0.03243042  ,    -484.916024  },    -1.00      6.80      12.34
{4.0500  ,   0.03247335  ,    -496.601059  },    -1.00      6.80      12.33
{4.1000  ,   0.03252712  ,    -508.431411  },    -1.00      6.79      12.32
{4.1500  ,   0.03255945  ,    -520.388466  },    -1.00      6.79      12.31
{4.2000  ,   0.03260262  ,    -532.487585  },    -1.00      6.78      12.31
{4.2500  ,   0.03264589  ,    -544.732306  },    -1.00      6.78      12.30
{4.3000  ,   0.03267839  ,    -557.106088  },    -1.00      6.78      12.29
{4.3500  ,   0.03272181  ,    -569.629091  },    -1.00      6.77      12.28
{4.4000  ,   0.03275443  ,    -582.284245  },    -1.00      6.77      12.28
{4.4500  ,   0.03279799  ,    -595.089229  },    -1.00      6.76      12.27
{4.5000  ,   0.03281981  ,    -608.018791  },    -1.00      6.76      12.27
{4.5500  ,   0.03285258  ,    -621.087130  },    -1.00      6.76      12.26
{4.6000  ,   0.03287445  ,    -634.294239  },    -1.00      6.75      12.26
{4.6500  ,   0.03292922  ,    -647.663808  },    -1.00      6.75      12.25
{4.7000  ,   0.03295116  ,    -661.152960  },    -1.00      6.75      12.24
{4.7500  ,   0.03298413  ,    -674.785147  },    -1.00      6.74      12.24
{4.8000  ,   0.03302815  ,    -688.560616  },    -1.00      6.74      12.23
{4.8500  ,   0.03305020  ,    -702.471052  },    -1.00      6.74      12.22
{4.9000  ,   0.03308331  ,    -716.520569  },    -1.00      6.73      12.22
{4.9500  ,   0.03311647  ,    -730.709163  },    -1.00      6.73      12.21
