1.0000       -29.0869
1.1000       -35.0212
1.2000       -41.5122
1.3000       -48.5598
1.4000       -56.1639
1.5000       -64.3247
1.6000       -73.0421
1.7000       -82.3161
1.8000       -92.1468
1.9000      -102.5340
2.0000      -113.4778
2.1000      -124.9783
2.2000      -137.0354
2.3000      -149.6490
2.4000      -162.8193
2.5000      -176.5462
2.6000      -190.8297
2.7000      -205.6699
2.8000      -221.0666
2.9000      -237.0199
3.0000      -253.5299
3.1000      -270.5965
3.2000      -288.2196
3.3000      -306.3994
3.4000      -325.1358
3.5000      -344.4288
3.6000      -364.2785
3.7000      -384.6847
3.8000      -405.6476
3.9000      -427.1670
4.0000      -449.2431
4.1000      -471.8758
4.2000      -495.0651
4.3000      -518.8110
4.4000      -543.1135
4.5000      -567.9726
4.6000      -593.3883
4.7000      -619.3607
4.8000      -645.8897
4.9000      -672.9752
5.0000      -700.6174
5.1000      -728.8162
5.2000      -757.5716
5.3000      -786.8836
5.4000      -816.7523
5.5000      -847.1775
5.6000      -878.1594
5.7000      -909.6978
5.8000      -941.7929
5.9000      -974.4446
6.0000     -1007.6529
6.1000     -1041.4178
6.2000     -1075.7393
6.3000     -1110.6174
6.4000     -1146.0522
6.5000     -1182.0435
6.6000     -1218.5915
6.7000     -1255.6961
6.8000     -1293.3573
6.9000     -1331.5751
7.0000     -1370.3495
7.1000     -1409.6805
7.2000     -1449.5681
7.3000     -1490.0124
7.4000     -1531.0132
7.5000     -1572.5707
7.6000     -1614.6848
7.7000     -1657.3554
7.8000     -1700.5827
7.9000     -1744.3667
8.0000     -1788.7072
8.1000     -1833.6043
8.2000     -1879.0581
8.3000     -1925.0684
8.4000     -1971.6354
8.5000     -2018.7590
8.6000     -2066.4392
8.7000     -2114.6760
8.8000     -2163.4694
8.9000     -2212.8194
9.0000     -2262.7260
9.1000     -2313.1893
9.2000     -2364.2091
9.3000     -2415.7856
9.4000     -2467.9187
9.5000     -2520.6084
9.6000     -2573.8547
9.7000     -2627.6576
9.8000     -2682.0171
