4.3000    -81406.3426
4.4000    -86836.5039
4.5000    -92206.2786
4.6000    -97447.6806
4.7000   -102483.9216
4.8000   -107228.8337
4.9000   -111586.2748
5.0000   -115449.5177
5.1000   -118700.6220
5.2000   -121209.7895
5.3000   -122834.7029
5.4000   -123419.8478
5.5000   -122795.8177
5.6000   -120778.6025
5.7000   -117168.8606
5.8000   -111751.1732
5.9000   -104293.2832
6.0000    -94545.3163
6.1000    -82238.9862
6.2000    -67086.7824
6.3000    -48781.1415
6.4000    -26993.6022
6.5000     -1373.9425
6.6000     28450.6984
6.7000     62876.7160
6.8000    102324.9530
6.9000    147241.6282
7.0000    198099.2819
7.1000    255397.7390
7.2000    319665.0880
7.3000    391458.6767
7.4000    471366.1253
7.5000    560006.3555
7.6000    658030.6368
7.7000    766123.6495
7.8000    885004.5640
7.9000   1015428.1374
8.0000   1158185.8266
8.1000   1314106.9180
8.2000   1484059.6737
8.3000   1668952.4957
8.4000   1869735.1047
8.5000   2087399.7380
8.6000   2322982.3619
8.7000   2577563.9027
8.8000   2852271.4933
8.9000   3148279.7366
9.0000   3466811.9864
9.1000   3809141.6442
9.2000   4176593.4730
9.3000   4570544.9281
9.4000   4992427.5040
9.5000   5443728.0990
9.6000   5925990.3956
9.7000   6440816.2580
9.8000   6989867.1463
