 (    291.1638+      0.0000j)
 (    257.0991+      0.0000j)
 (    228.6531+      0.0000j)
 (    204.4625+      0.0000j)
 (    183.4447+      0.0000j)
 (    164.5462+      0.0000j)
 (    147.5401+      0.0000j)
 (    132.0325+      0.0000j)
 (    117.8582+      0.0000j)
 (    104.8433+      0.0000j)
 (     92.8748+      0.0000j)
 (     81.8560+      0.0000j)
 (     71.7115+      0.0000j)
 (     62.3793+      0.0000j)
 (     53.8075+      0.0000j)
 (     45.9541+      0.0000j)
 (     38.7860+      0.0000j)
 (     -0.8433+      0.0000j)
 (      0.4704+      0.0000j)
 (      1.4605+      0.0000j)
 (      3.2081+      0.0000j)
 (      5.6612+      0.0000j)
 (      8.7155+      0.0000j)
 (     12.3090+      0.0000j)
 (     16.4226+      0.0000j)
 (     21.0889+      0.0000j)
 (     26.3629+      0.0000j)
 (     32.2635+      0.0000j)
