 (     50.4789+      0.0000j)
 (      4.0924+      0.0000j)
 (      1.1933+      0.0000j)
 (      1.0121+      0.0000j)
 (      1.0008+      0.0000j)
 (      1.0000+      0.0000j)
 (      0.9999+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
 (      1.0000+      0.0000j)
